Time (h)	Cntrl	Cntrl + aTC	adk	adk + aTC	aroA	aroA + aTC	carA	carA + aTC	cysH	cysH + aTC	dxs	dxs + aTC	eno	eno + aTC	fbaA	fbaA + aTC	gapA	gapA + aTC	gdhA	gdhA + aTC	glmS	glmS + aTC	gltA	gltA + aTC	gnd	gnd + aTC	ilvC	ilvC + aTC	metE	metE + aTC	pck 	pck + aTC	pfkA	pfkA + aTC	pfkB	pfkB + aTC	pgi	pgi + aTC	ppc	ppc + aTC	prs	prs + aTC	ptsH 	ptsH + aTC	purB	purB + aTC	purC	purC + aTC	pykA	pykA + aTC	pykF	pykF + aTC	pyrF	pyrF + aTC	sdhC	sdhC + aTC	tpiA	tpiA + aTC	zwf	zwf + aTC
0	0.0541	0.05715	0.0535	0.0521	0.0525	0.0462	0.0505	0.0539	0.0466	0.0439	0.0581	0.0555	0.0599	0.0523	0.0539	0.0544	0.0694	0.0551	0.0497	0.0512	0.0572	0.0554	0.0643	0.0555	0.0606	0.0616	0.0559	0.0498	0.0672	0.0561	0.0878	0.0695	0.0575	0.0499	0.0581	0.0525	0.0604	0.0462	0.0547	0.0527	0.0623	0.0587	0.0532	0.0495	0.0721	0.0564	0.0488	0.0488	0.0564	0.0621	0.0565	0.0398	0.0461	0.054	0.0471	0.0489	0.064	0.0663	0.0523	0.064
0.154444444444444	0.0497	0.04905	0.0491	0.0496	0.0512	0.0489	0.0492	0.0486	0.0511	0.0464	0.049	0.0506	0.0476	0.0497	0.0504	0.054	0.0562	0.0521	0.0484	0.0493	0.0515	0.0505	0.0552	0.0514	0.0634	0.0625	0.0536	0.0514	0.0513	0.0492	0.0569	0.0556	0.0571	0.0558	0.0531	0.0521	0.0523	0.0474	0.0515	0.0521	0.0634	0.0533	0.0468	0.0464	0.051	0.05	0.0499	0.0484	0.0513	0.0521	0.0497	0.0463	0.0514	0.0517	0.0489	0.0484	0.0586	0.0597	0.0529	0.0524
0.321111111111111	0.049	0.048	0.049	0.0487	0.0502	0.0482	0.0493	0.048	0.0467	0.0488	0.0496	0.0506	0.0487	0.0491	0.0497	0.0531	0.0571	0.0535	0.0486	0.0492	0.049	0.0526	0.0545	0.0501	0.0641	0.0626	0.0532	0.0512	0.0507	0.0494	0.0586	0.0567	0.0572	0.0556	0.0522	0.0524	0.0532	0.048	0.0513	0.0523	0.0558	0.0549	0.0479	0.0473	0.0514	0.0507	0.0502	0.048	0.0515	0.0527	0.0496	0.0457	0.0522	0.0519	0.0485	0.048	0.0579	0.0594	0.053	0.0522
0.487777777777778	0.0504	0.04995	0.0525	0.0523	0.053	0.0511	0.0525	0.0528	0.0503	0.046	0.0519	0.0531	0.0518	0.0516	0.0522	0.0556	0.0614	0.0568	0.0526	0.0526	0.0531	0.0565	0.0567	0.0524	0.0685	0.0659	0.0558	0.0541	0.0535	0.0531	0.0614	0.0597	0.0604	0.0586	0.0563	0.0557	0.0562	0.0508	0.0545	0.0559	0.0584	0.0577	0.05	0.0488	0.0549	0.0538	0.053	0.051	0.0551	0.0549	0.0524	0.0481	0.0551	0.0548	0.0509	0.056	0.0612	0.0628	0.0562	0.0551
0.654444444444444	0.0527	0.0513	0.0573	0.0569	0.0576	0.0554	0.0567	0.0553	0.0546	0.0502	0.0554	0.0566	0.057	0.0556	0.0563	0.0595	0.0673	0.0625	0.0578	0.0576	0.0584	0.0612	0.0616	0.0569	0.0738	0.0716	0.0593	0.0574	0.0581	0.057	0.0654	0.0636	0.0656	0.0636	0.062	0.0606	0.0614	0.0551	0.0598	0.0602	0.0636	0.063	0.0535	0.0516	0.0595	0.058	0.0571	0.0551	0.0613	0.0597	0.0562	0.0523	0.0603	0.0594	0.0544	0.0538	0.0662	0.0679	0.0597	0.0594
0.821111111111111	0.0551	0.0537	0.0634	0.0628	0.0637	0.0617	0.0619	0.0603	0.0593	0.0555	0.0594	0.0602	0.0638	0.0613	0.0619	0.0643	0.075	0.0697	0.0645	0.0643	0.0661	0.0704	0.0665	0.062	0.0802	0.0777	0.0639	0.0617	0.0628	0.0623	0.0696	0.0691	0.0713	0.0698	0.0686	0.0669	0.0671	0.0611	0.0662	0.0667	0.0696	0.0696999999999999	0.0584	0.0563	0.0651	0.0633	0.0615	0.0593	0.0686999999999999	0.0664	0.0611	0.0573	0.0659	0.0658	0.0588	0.0578	0.0723	0.0743	0.0645	0.0627
0.987777777777778	0.0591	0.0561	0.0704	0.0702	0.0704	0.0688	0.0683	0.0671	0.0668	0.0623	0.0646	0.0658	0.0713	0.0686	0.069	0.0703	0.083	0.0786	0.0723	0.0733	0.0746	0.0769	0.0732	0.0685	0.0878	0.0855	0.0695	0.0673	0.0694	0.069	0.0755	0.0773	0.0787	0.0772	0.0774	0.0751	0.0743	0.0683	0.0736	0.0744	0.0767	0.0768	0.0637	0.0608	0.0711	0.0698	0.0669	0.0644	0.0776	0.0751	0.0674	0.0635	0.0727	0.072	0.064	0.0638	0.0793	0.0824	0.07	0.0684
1.15444444444444	0.0636	0.05985	0.0773	0.0779	0.0781	0.0761	0.0752	0.0737	0.0731	0.069	0.0704	0.072	0.0788	0.0759	0.0759	0.0776	0.0917	0.0874	0.0803	0.0802	0.0834	0.0869	0.0803	0.0765	0.0965	0.0941	0.076	0.0735	0.0767	0.0757	0.0823	0.0808	0.0869	0.085	0.086	0.0833	0.0799	0.0753	0.0826	0.0821	0.0838	0.0849	0.0701	0.0669	0.0777	0.0765	0.0728	0.0709	0.0869	0.0834	0.0741	0.0697	0.0796	0.0795	0.0699	0.0694	0.0867	0.0895	0.0761	0.0748
1.32111111111111	0.0693	0.06495	0.0852	0.0859	0.0857	0.0839	0.0826	0.0811	0.0802	0.0755	0.0771	0.0791	0.0863	0.0833	0.0837	0.0841	0.0998	0.0962	0.088	0.0879	0.0922	0.0963	0.0882	0.0836	0.1064	0.1037	0.084	0.0811	0.085	0.0832	0.0905	0.0896	0.095	0.0942	0.0939	0.0921	0.0869	0.0831	0.09	0.0896	0.0916	0.0944	0.0769	0.072	0.0854	0.0843	0.0802	0.0778	0.097	0.0929	0.0812	0.0772	0.0875	0.087	0.0767	0.0755	0.0936	0.0995	0.086	0.0817
1.48777777777778	0.0749	0.0699	0.0946	0.0952	0.0949	0.0932	0.0905	0.0891	0.0882	0.0831	0.0849	0.087	0.0931	0.0916	0.0914	0.0922	0.1104	0.1057	0.0967	0.0962	0.1022	0.1048	0.0964	0.0917	0.1168	0.1141	0.0922	0.0896	0.0941	0.0916	0.0991	0.0993	0.1042	0.1031	0.1033	0.1013	0.0947	0.0913	0.0992	0.0977	0.0991	0.1022	0.084	0.079	0.0943	0.0926	0.0879	0.0861	0.1078	0.1032	0.0887	0.0845	0.0959	0.0958	0.0848	0.0845	0.1019	0.1063	0.092	0.0899
