ECnumber	Substrate	Organism	Kcat	metGroups
EC1.1.1.1	(2e)-but-2-en-1-ol	yokenella sp.//*//*	101	CEM//ALM//ISM
EC1.1.1.1	(2e)-but-2-enal	yokenella sp.//*//*	405	CEM//ALM//ISM
EC1.1.1.1	(r)-1-indanol	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	7.1	CEM//ALM//ISM
EC1.1.1.1	(r)-2-butanol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	2	CEM//ALM//ISM
EC1.1.1.1	(r)-2-butanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1	CEM//ALM//ISM
EC1.1.1.1	(r)-2-octanol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.053	CEM//ALM//ISM
EC1.1.1.1	(r)-2-pentanol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	1.01	CEM//ALM//ISM
EC1.1.1.1	(r)-2-pentanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.1	CEM//ALM//ISM
EC1.1.1.1	(r)-alpha-tetralol	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	13.5	CEM//ALM//ISM
EC1.1.1.1	(s)-(+)-1-indanol	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	61.4	CEM//ALM//ISM
EC1.1.1.1	(s)-(+)-alpha-tetraol	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	57	CEM//ALM//ISM
EC1.1.1.1	(s)-(-)-1-phenylethanol	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	1.1	CEM//ALM//ISM
EC1.1.1.1	(s)-1-indanol	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	13.7	CEM//ALM//ISM
EC1.1.1.1	(s)-1-indanol	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	61.4	CEM//ALM//ISM
EC1.1.1.1	(s)-1-phenylethanol	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	1.1	CEM//ALM//ISM
EC1.1.1.1	(s)-2-butanol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	1	CEM//ALM//ISM
EC1.1.1.1	(s)-2-butanol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	2.17	CEM//ALM//ISM
EC1.1.1.1	(s)-2-butanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.2	CEM//ALM//ISM
EC1.1.1.1	(s)-2-octanol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	1.52	CEM//ALM//ISM
EC1.1.1.1	(s)-2-pentanol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.87	CEM//ALM//ISM
EC1.1.1.1	(s)-2-pentanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	2.6	CEM//ALM//ISM
EC1.1.1.1	(s)-alpha-tetralol	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	2.1	CEM//ALM//ISM
EC1.1.1.1	(s)-alpha-tetralol	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	57	CEM//ALM//ISM
EC1.1.1.1	1-butanol	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.41	CEM//ALM//ISM
EC1.1.1.1	1-butanol	mesocricetus auratus//*//*	7.5	CEM//ALM//ISM
EC1.1.1.1	1-butanol	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	48.8	CEM//ALM//ISM
EC1.1.1.1	1-butanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	3.1	CEM//ALM//ISM
EC1.1.1.1	1-heptanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.6	CEM//ALM//ISM
EC1.1.1.1	1-hexanol	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.37	CEM//ALM//ISM
EC1.1.1.1	1-hexanol	mesocricetus auratus//*//*	3.03	CEM//ALM//ISM
EC1.1.1.1	1-hexanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	2	CEM//ALM//ISM
EC1.1.1.1	1-indanol	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	6.2	CEM//ALM//ISM
EC1.1.1.1	1-indanol	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	45.7	CEM//ALM//ISM
EC1.1.1.1	1-indanone	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	8.3	CEM//ALM//ISM
EC1.1.1.1	1-octanol	geobacillus thermodenitrificans//prokaryotes;bacteria;firmicutes - bacilli;geobacillus//gtn	260.7	CEM//ALM//ISM
EC1.1.1.1	1-octanol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	2.83	CEM//ALM//ISM
EC1.1.1.1	1-octanol	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	60.8	CEM//ALM//ISM
EC1.1.1.1	1-pentanol	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.45	CEM//ALM//ISM
EC1.1.1.1	1-pentanol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.183	CEM//ALM//ISM
EC1.1.1.1	1-pentanol	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	48.8	CEM//ALM//ISM
EC1.1.1.1	1-pentanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	2.5	CEM//ALM//ISM
EC1.1.1.1	1-phenyl-1,2-propandione	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	17.1	CEM//ALM//ISM
EC1.1.1.1	1-phenyl-1,2-propanedione	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	5.3	CEM//ALM//ISM
EC1.1.1.1	1-phenyl-1,2-propanedione	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	17.1	CEM//ALM//ISM
EC1.1.1.1	1-phenylethanol	thermococcus kodakarensis//prokaryotes;archaea;euryarchaeota;thermococcus//tko	35.7	CEM//ALM//ISM
EC1.1.1.1	1-propanol	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.26	CEM//ALM//ISM
