react_id,direction,sample_id,Master.Protein.Accessions,bnum,bio_rep,fmol_per_gDW_calib_avg,flux_units,mfa_sampling_ave,mfa_sampling_var,mfa_sampling_lb,mfa_sampling_ub,kapp_per_s
14GLUCANtexi,fwd,WT1,lamB,b4036,B2,460049.916696364,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,WT1,lamB,b4036,B1,435486.321384461,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,WT2,lamB,b4036,B1,522581.3006222,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,WT2,lamB,b4036,B2,986693.052567322,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pts2,lamB,b4036,B1,1390257.70531058,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi1,lamB,b4036,B2,5893002.75909343,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi1,lamB,b4036,B1,8657459.32532128,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi2,lamB,b4036,B1,16093880.0941408,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi2,lamB,b4036,B2,16113529.3385842,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi3,lamB,b4036,B2,7833208.36158971,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi3,lamB,b4036,B1,7301117.92192162,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi4,lamB,b4036,B2,11895889.7846138,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi4,lamB,b4036,B1,12643787.0997125,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi5,lamB,b4036,B1,11629981.8274871,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi5,lamB,b4036,B2,9940585.93828535,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pts4,lamB,b4036,B2,214924.527673164,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi6,lamB,b4036,B2,234602.686471007,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,tpi1,lamB,b4036,B2,7181617.73701865,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,tpi1,lamB,b4036,B1,8275368.69165933,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi7,lamB,b4036,B2,4967458.44542914,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi7,lamB,b4036,B1,5647888.35944017,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pts4,lamB,b4036,B1,194629.692377178,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi8,lamB,b4036,B2,12704222.707964,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pgi8,lamB,b4036,B1,11482024.9281095,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pts2,lamB,b4036,B2,908793.385960305,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,tpi3,lamB,b4036,B1,6563587.44389896,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,tpi3,lamB,b4036,B2,7069833.56358392,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pts1,lamB,b4036,B2,552011.281000967,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,pts1,lamB,b4036,B1,285683.042291613,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,tpi2,lamB,b4036,B1,6976560.31127517,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,sdh2,lamB,b4036,B1,172451.304044532,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,tpi4,lamB,b4036,B1,594694.637840338,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,tpi2,lamB,b4036,B2,6936797.60360042,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,sdh3,lamB,b4036,B1,282837.371477854,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,sdh3,lamB,b4036,B2,189501.651834709,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,tpi4,lamB,b4036,B2,812700.827043976,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,sdh1,lamB,b4036,B1,317127.890989768,NA,NA,NA,NA,NA,NA
14GLUCANtexi,fwd,sdh1,lamB,b4036,B2,225125.674727243,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,WT1,cpdB,b4213,B1,537992.734032714,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,WT1,cpdB,b4213,B2,483066.255546866,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,WT2,cpdB,b4213,B1,854982.681604992,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,WT2,cpdB,b4213,B2,612478.276557681,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi1,cpdB,b4213,B2,1000260.38911343,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi1,cpdB,b4213,B1,1756632.64128928,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi2,cpdB,b4213,B2,1127858.04674977,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi2,cpdB,b4213,B1,1335082.85130629,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi3,cpdB,b4213,B2,1615812.9968272,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi3,cpdB,b4213,B1,914164.33391935,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi4,cpdB,b4213,B1,1149135.10668158,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi4,cpdB,b4213,B2,1229044.73717544,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi5,cpdB,b4213,B2,1212030.32334876,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi5,cpdB,b4213,B1,1532135.5767741,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pts2,cpdB,b4213,B1,739975.771427009,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pts2,cpdB,b4213,B2,788423.387218504,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi6,cpdB,b4213,B1,1221171.13059602,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi6,cpdB,b4213,B2,700767.524929379,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pts3,cpdB,b4213,B2,531865.284023171,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pts3,cpdB,b4213,B1,745357.420860258,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi7,cpdB,b4213,B1,1019605.75213251,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi7,cpdB,b4213,B2,792874.108505788,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pts4,cpdB,b4213,B2,867222.699304152,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pts4,cpdB,b4213,B1,1058408.97513435,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi8,cpdB,b4213,B1,1249367.05670863,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pgi8,cpdB,b4213,B2,1946495.8249174,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pts1,cpdB,b4213,B2,548868.157000257,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,pts1,cpdB,b4213,B1,788390.723764093,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,sdh1,cpdB,b4213,B1,668508.496707199,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,sdh3,cpdB,b4213,B2,662625.248449697,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,sdh3,cpdB,b4213,B1,716525.270618271,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,sdh2,cpdB,b4213,B1,652762.86675602,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,sdh1,cpdB,b4213,B2,790348.106281772,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,tpi3,cpdB,b4213,B1,1595898.25352009,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,sdh2,cpdB,b4213,B2,776305.985868044,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,tpi4,cpdB,b4213,B1,1038486.63598322,NA,NA,NA,NA,NA,NA
23PDE2pp,fwd,tpi4,cpdB,b4213,B2,1160995.98434147,NA,NA,NA,NA,NA,NA
