,KM [mM],RIDS,MIDS
0,0.088069715,DXYLK,adp_c
1,0.078396104,DXYLK,atp_c
2,0.2972,DXYLK,dxyl_c
3,0.27356717,DXYLK,dxyl5p_c
4,0.13297899,DXYLK,h_c
5,1.0919547,METSOXR1,h2o_c
6,0.3096483,METSOXR1,metsox_S__L_c
7,0.32739455,METSOXR1,met__L_c
8,1.6906295,METSOXR1,h2o_c
9,0.55127126,METSOXR1,metsox_S__L_c
10,0.70647454,METSOXR1,met__L_c
11,0.062494468,NTD11,ins_c
12,1.4207124,NTD11,h2o_c
13,0.07309536,NTD11,imp_c
14,0.47468966,NTD11,pi_c
15,0.9606188,GLUNpp,glu__L_p
16,0.8446789,GLUNpp,gln__L_p
17,0.43869725,GLUNpp,nh4_p
18,0.22362155,GLUNpp,h2o_p
19,0.013073974,UAGCVT,pep_c
20,0.05304692,UAGCVT,pi_c
21,0.0261509,UAGCVT,uacgam_c
22,0.011498645,UAGCVT,uaccg_c
23,0.4541553,ALAGLUE,LalaDglu_c
24,0.6676066,ALAGLUE,LalaLglu_c
25,0.20493151,GMPS2,atp_c
26,1.1680583,GMPS2,glu__L_c
27,1.7693405,GMPS2,h2o_c
28,0.23269105,GMPS2,amp_c
29,0.7515004,GMPS2,gln__L_c
30,0.5366248,GMPS2,ppi_c
31,0.20003267,GMPS2,gmp_c
32,1.7799317,GMPS2,h_c
33,0.19233735,GMPS2,xmp_c
34,0.82968515,RNDR2b,h2o_c
35,0.050525557,RNDR2b,dgdp_c
36,0.19551301,RNDR2b,gdp_c
37,0.9346292,RNDR2b,h2o_c
38,0.06917034,RNDR2b,dgdp_c
39,0.15522614,RNDR2b,gdp_c
40,0.19226153,LPLIPAL1A181pp,h_p
41,0.0425208,LPLIPAL1A181pp,ocdcea_p
42,0.15861045,LPLIPAL1A181pp,h2o_p
43,0.24858019,LPLIPAL1A181pp,glyc3p_p
44,0.7086328,MLDCP3App,alaala_p
45,0.9873749,MLDCP3App,h2o_p
46,0.5462004,MLDCP3App,alaala_p
47,0.96514755,MLDCP3App,h2o_p
48,0.49808186,MLDCP3App,alaala_p
49,1.1579163,MLDCP3App,h2o_p
50,0.9284253,MLDCP3App,alaala_p
51,0.55682397,MLDCP3App,h2o_p
52,0.57345295,MLDCP3App,alaala_p
53,0.64631855,MLDCP3App,h2o_p
54,0.21738881,FRULYSE,psclys_c
55,0.27847826,FRULYSE,frulys_c
56,0.034259938,ASPO4,mql8_c
57,0.29504368,ASPO4,iasp_c
58,0.036541197,ASPO4,mqn8_c
59,0.57306755,ASPO4,h_c
60,0.6832059,ASPO4,asp__L_c
61,1.5568103,MLTG3,h2o_c
62,2.0931678,MLTG3,glc__D_c
