,KM [mM],RIDS,MIDS
0,0.021463437,PACOAT,coa_c
1,0.097525425,PACOAT,pac_c
2,3.1087415,PACOAT,h2o_c
3,0.019872744,PACOAT,phaccoa_c
4,4.2843356,PACOAT,h_c
5,0.27842304,Zn2tex,zn2_p
6,0.27842304,Zn2tex,zn2_e
7,0.93685365,GUI1,glcur_c
8,0.8882207,GUI1,fruur_c
9,0.4904013,FE3DCITtonex,h_p
10,0.57136303,FE3DCITtonex,h_p
11,0.6927065,FE3DCITtonex,h_p
12,0.34395096,FE3DCITtonex,h_p
13,0.54241425,CBL1tonex,h_p
14,0.15519424,CBL1tonex,cbl1_e
15,0.15519424,CBL1tonex,cbl1_p
16,0.54241425,CBL1tonex,h_c
17,0.6810299,FACOAL180t2pp,h_p
18,0.052911952,FACOAL180t2pp,atp_c
19,0.04380148,FACOAL180t2pp,ocdca_p
20,0.033206407,FACOAL180t2pp,coa_c
21,0.047556065,FACOAL180t2pp,amp_c
22,0.26756236,FACOAL180t2pp,ppi_c
23,0.028672962,FACOAL180t2pp,stcoa_c
24,0.6810299,FACOAL180t2pp,h_c
25,0.088069715,DXYLK,adp_c
26,0.078396104,DXYLK,atp_c
27,0.2972,DXYLK,dxyl_c
28,0.27356717,DXYLK,dxyl5p_c
29,0.13297899,DXYLK,h_c
30,0.06712899,LIPOtex,lipoate_e
31,0.06712899,LIPOtex,lipoate_p
32,0.02758622,NTD11,ins_c
33,1.9123731,NTD11,h2o_c
34,0.022725958,NTD11,imp_c
35,0.442975,NTD11,pi_c
36,0.9606188,GLUNpp,glu__L_p
37,0.8446789,GLUNpp,gln__L_p
38,0.43869725,GLUNpp,nh4_p
39,0.22362155,GLUNpp,h2o_p
40,0.38787755,ORNDC,ptrc_c
41,0.6568545,ORNDC,orn_c
42,0.92270374,ORNDC,co2_c
43,1.0611408,ORNDC,h_c
44,0.013073974,UAGCVT,pep_c
45,0.05304692,UAGCVT,pi_c
46,0.0261509,UAGCVT,uacgam_c
47,0.011498645,UAGCVT,uaccg_c
48,0.4541553,ALAGLUE,LalaDglu_c
49,0.6676066,ALAGLUE,LalaLglu_c
50,1.4506319,GLCURt2rpp,h_p
51,0.62169904,GLCURt2rpp,glcur_c
52,1.4506319,GLCURt2rpp,h_c
53,0.62169904,GLCURt2rpp,glcur_p
54,0.20493151,GMPS2,atp_c
55,1.1680583,GMPS2,glu__L_c
56,1.7693405,GMPS2,h2o_c
57,0.23269105,GMPS2,amp_c
58,0.7515004,GMPS2,gln__L_c
59,0.5366248,GMPS2,ppi_c
60,0.20003267,GMPS2,gmp_c
61,1.7799317,GMPS2,h_c
62,0.19233735,GMPS2,xmp_c
63,0.82968515,RNDR2b,h2o_c
64,0.9413034,RNDR2b,h2o_c
65,1.3240577,RNDR2b,h2o_c
66,0.8287612,RNDR2b,h2o_c
67,0.65553665,RNDR2b,h2o_c
68,0.26468942,NMNPtpp,nmn_c
69,0.26468942,NMNPtpp,nmn_p
70,0.244714,ACGK,adp_c
71,0.17955312,ACGK,atp_c
72,2.0710466,ACGK,acglu_c
73,1.0347017,ACGK,acg5p_c
74,0.7222604,MCITD,h2o_c
75,0.27506906,MCITD,2mcit_c
76,0.14461026,MCITD,2mcacn_c
77,0.7086328,MLDCP3App,alaala_p
78,0.5462004,MLDCP3App,alaala_p
79,0.49808186,MLDCP3App,alaala_p
80,0.9284253,MLDCP3App,alaala_p
81,0.16367902,NO2tex,no2_e
82,0.16367902,NO2tex,no2_p
83,0.21738881,FRULYSE,psclys_c
84,0.27847826,FRULYSE,frulys_c
85,0.94883466,AMPN,h2o_c
86,0.13526542,AMPN,amp_c
87,0.9521725,AMPN,r5p_c
88,0.09403961,AMPN,ade_c
89,0.30152693,CITt7pp,cit_p
90,0.28395873,CITt7pp,succ_c
91,0.28395873,CITt7pp,succ_p
92,0.30152693,CITt7pp,cit_c
93,1.5319575,DTARTD,h2o_c
94,0.2578145,DTARTD,tartr__D_c
95,0.31481645,DTARTD,oaa_c
96,1.4929836,MN2t3pp,h_p
97,1.5528122,MN2t3pp,mn2_c
98,1.5528122,MN2t3pp,mn2_p
99,1.4929836,MN2t3pp,h_c
100,0.034259938,ASPO4,mql8_c
101,0.29504368,ASPO4,iasp_c
102,0.036541197,ASPO4,mqn8_c
103,0.57306755,ASPO4,h_c
104,0.6832059,ASPO4,asp__L_c
105,1.5568103,MLTG3,h2o_c
106,2.0931678,MLTG3,glc__D_c
107,0.28174406,MLTG3,maltttr_c
108,0.17747495,MLTG3,maltpt_c
109,0.24569489,LALADGLUtex,LalaDglu_p
110,0.24569489,LALADGLUtex,LalaDglu_e
111,0.81203413,RMPA,dhap_c
112,1.9725376,RMPA,lald__L_c
113,0.5263954,RMPA,rml1p_c
114,0.07701086,FE2abcpp,adp_c
115,0.062649,FE2abcpp,atp_c
116,0.51340204,FE2abcpp,h2o_c
117,0.50446016,FE2abcpp,fe2_p
118,0.22092566,FE2abcpp,pi_c
119,0.50446016,FE2abcpp,fe2_c
120,0.50322336,FE2abcpp,h_c
121,0.059052035,HDCAtexi,hdca_e
122,0.059052035,HDCAtexi,hdca_p
123,0.3023245,CRNDtex,crn__D_p
124,0.3023245,CRNDtex,crn__D_e
