Gene	Glucose_fg_cell	Chemostat_mu_0_5
rpoC	7.15E-01	1.23E+00
rpoB	9.89E-01	1.31E+00
acnB	1.18E+00	2.44E+00
purL	5.76E-01	5.36E-01
gltB	7.75E-01	6.29E-01
aceE	9.62E-01	9.73E-01
adhE	7.74E-01	1.65E+00
tufA	1.81E+01	1.30E+01
metE	7.25E+00	3.82E+00
groL	2.16E+00	2.47E+00
carB	8.69E-01	5.87E-01
pflB	6.54E-01	9.47E-01
dnaK	2.13E+00	1.78E+00
ilvC	2.99E+00	2.41E+00
infB	4.03E-01	5.06E-01
ppc	5.97E-01	7.05E-01
fusA	5.02E+00	3.16E+00
alaS	3.10E-01	2.75E-01
glyS	3.71E-01	3.42E-01
maeB	6.41E-02	3.87E-01
rpsA	2.41E+00	1.85E+00
leuS	2.98E-01	2.62E-01
thrA	8.43E-01	1.17E+00
sucA	2.97E-01	6.35E-01
ileS	3.75E-01	2.85E-01
aldA	3.04E-01	1.65E+00
aceF	9.93E-01	7.75E-01
dppA	4.94E-01	1.01E+00
pheT	7.28E-01	9.21E-01
aspS	2.48E-01	2.55E-01
valS	3.09E-01	2.33E-01
secA	1.20E-01	1.58E-01
icd	2.56E+00	2.32E+00
atpD	2.02E+00	2.01E+00
gyrA	1.21E-01	1.86E-01
katG	2.92E-01	4.38E-01
pepN	2.13E-01	2.23E-01
aceA	2.22E+00	8.63E+00
pykF	7.49E-01	5.98E-01
putA	3.06E-02	4.03E-02
fumA	1.35E-01	4.71E-01
tsf	1.00E+00	5.44E-01
ptsI	1.07E+00	7.33E-01
htpG	2.48E-01	2.30E-01
argG	6.89E-01	3.55E-01
katE	1.65E-01	2.24E-01
glpK	4.63E-02	7.92E-02
tig	1.99E+00	1.18E+00
pgi	4.70E-01	3.85E-01
pnp	4.06E-01	6.10E-01
pta	1.47E-01	1.94E-01
bamA	3.05E-01	2.18E-01
sdhA	2.23E-01	6.78E-01
acs	1.19E-01	8.75E-01
ppsA	1.68E-01	2.69E-01
guaA	3.77E-01	2.31E-01
lon	1.65E-01	2.11E-01
mukB	5.61E-02	8.26E-02
pgk	2.73E+00	2.11E+00
oppA	5.81E-01	6.69E-01
glyA	1.84E+00	9.97E-01
aceB	4.39E-01	1.15E+00
rne	1.66E-01	2.51E-01
yjjK	2.66E-01	2.69E-01
ftsZ	4.06E-01	2.42E-01
gyrB	1.26E-01	1.45E-01
thrS	1.15E-01	1.68E-01
gdhA	5.11E-01	6.49E-01
nuoG	1.55E-01	2.51E-01
gapA	2.77E+00	2.00E+00
purH	2.59E-01	2.15E-01
acnA	9.65E-02	1.59E-01
polA	7.52E-02	7.87E-02
tnaA	5.37E-02	1.89E-01
nuoC	1.06E-01	1.97E-01
cysI	3.20E-01	2.09E-01
gltA	7.70E-01	2.52E+00
glnA	1.54E+00	9.88E-01
aldB	5.50E-02	1.31E-01
leuA	2.58E-01	3.52E-01
glcB	3.77E-02	1.12E-01
dld	6.52E-02	7.07E-02
ompA	7.38E+00	7.62E+00
atpA	1.33E+00	1.51E+00
rplB	7.03E-01	8.63E-01
proS	4.57E-01	4.00E-01
glmS	4.47E-01	3.29E-01
iscS	1.02E+00	9.31E-01
prlC	1.73E-01	1.21E-01
nrdA	7.70E-02	1.40E-01
ahpF	2.27E-01	1.89E-01
glpD	1.27E-02	9.75E-03
guaB	9.70E-01	6.04E-01
rho	2.53E-01	2.17E-01
ftsH	2.62E-01	2.75E-01
metK	8.70E-01	5.35E-01
cysJ	3.65E-01	2.20E-01
mdh	2.85E+00	3.83E+00
livJ	1.49E+00	1.92E+00
gnd	1.20E+00	7.01E-01
rpoA	8.83E-01	9.77E-01
nusA	5.08E-01	3.36E-01
copA	4.04E-01	4.21E-01
mglB	1.91E-01	1.23E+00
lysS	2.45E-01	2.29E-01
metG	2.63E-01	1.90E-01
metH	9.50E-02	7.81E-02
cysK	4.19E+00	3.17E+00
fbaA	1.30E+00	8.84E-01
ydgA	1.10E-01	1.21E-01
typA	3.37E-01	1.53E-01
fhuA	1.19E-01	1.54E-01
ppiD	1.19E-01	1.34E-01
rnb	1.52E-01	1.09E-01
glnS	1.05E-01	8.57E-02
lpdA	1.06E+00	1.15E+00
talB	6.21E-01	5.82E-01
thrC	1.14E+00	6.85E-01
yeaG	6.41E-02	1.10E-01
pgm	1.30E-01	1.47E-01
pepA	9.79E-02	1.50E-01
fadB	2.29E-02	1.14E-01
prc	6.43E-02	5.37E-02
cysN	1.33E-01	1.34E-01
pyrB	5.08E-01	1.15E+00
yahK	9.28E-02	1.10E-01
asnS	4.82E-01	3.81E-01
serS	2.03E-01	1.65E-01
malE	1.54E-01	9.74E-01
ilvD	1.30E-01	9.15E-02
surA	1.22E-01	8.07E-02
rnr	3.83E-02	7.60E-02
ydiJ	4.34E-02	5.16E-02
rpsB	1.29E+00	9.25E-01
cirA	7.05E-02	4.50E-02
aspC	5.05E-01	5.73E-01
sucD	3.42E-01	7.64E-01
sucC	4.27E-01	1.06E+00
pyrC	2.89E-01	2.19E-01
ptsG	2.33E-01	7.90E-01
gltX	2.29E-01	1.44E-01
degP	2.73E-01	1.07E-01
argH	2.41E-01	1.27E-01
lptD	7.79E-02	5.56E-02
gatY	2.52E-01	1.15E+00
topA	5.73E-02	6.56E-02
asnB	1.20E-01	1.08E-01
argS	1.01E-01	5.89E-02
clpA	7.40E-02	8.68E-02
bglX	2.18E-02	1.56E-02
fabB	9.52E-01	9.00E-01
purA	5.39E-01	6.60E-01
pheS	3.10E-01	2.39E-01
clpX	2.50E-01	1.79E-01
gpmI	2.48E-01	1.59E-01
hslU	1.12E-01	1.06E-01
accC	1.48E-01	1.04E-01
fadE	1.28E-02	6.16E-02
pyrG	9.62E-02	7.08E-02
sdhB	1.10E-01	1.75E-01
trpE	1.04E-01	1.49E-01
gatZ	1.10E-01	2.97E-01
maeA	5.54E-02	5.59E-02
mfd	1.58E-02	2.22E-02
ilvB	1.83E-01	2.07E-01
gltD	2.56E-01	1.23E-01
fliY	5.49E-01	4.27E-01
serC	1.20E+00	5.06E-01
tolC	4.35E-01	2.92E-01
sucB	3.83E-01	4.45E-01
rplE	1.07E+00	7.04E-01
talA	8.55E-02	5.71E-02
pckA	1.14E-01	5.49E-01
zwf	1.14E-01	9.21E-02
accA	2.24E-01	1.64E-01
lysC	3.00E-01	1.27E-01
hflK	1.02E-01	9.98E-02
pdxB	5.06E-02	3.95E-02
plsB	2.92E-02	4.01E-02
cusA	6.78E-02	6.41E-02
xylA	2.15E-02	1.75E-02
tyrA	9.88E-02	7.28E-02
eno	2.74E+00	1.82E+00
ompT	8.20E-01	6.07E-01
argT	2.86E-01	5.64E-01
fepA	5.09E-02	1.76E-02
fiu	2.75E-02	1.49E-02
nadE	2.00E-01	1.33E-01
tktA	4.65E-01	4.06E-01
pepB	2.42E-01	2.97E-01
deoD	1.19E-01	1.31E-01
yqhD	7.34E-02	4.68E-02
ygfZ	9.64E-02	9.57E-02
dcp	7.60E-02	6.24E-02
pmbA	1.04E-01	6.29E-02
sthA	3.80E-02	1.75E-01
uvrA	2.19E-02	2.45E-02
prpC	3.36E-02	1.78E-02
ompF	1.57E+00	2.92E+00
rplA	1.17E+00	6.97E-01
rbsB	2.59E-01	8.21E-01
gltI	2.74E-01	2.72E-01
mtlA	6.43E-02	1.87E-01
hldD	1.68E-01	1.17E-01
mreB	2.01E-01	2.09E-01
acrA	1.70E-01	1.18E-01
fabI	2.32E-01	1.77E-01
argD	2.85E-01	2.00E-01
trpB	3.83E-01	2.25E-01
bamC	1.07E-01	6.11E-02
gor	7.98E-02	7.64E-02
purB	1.65E-01	1.56E-01
hisS	1.47E-01	9.16E-02
pfkA	8.37E-02	8.13E-02
gcvP	5.84E-02	7.73E-02
malP	4.12E-02	8.48E-02
lamB	7.47E-02	2.47E-01
entF	1.01E-02	8.35E-03
leuC	2.29E-01	1.81E-01
metL	5.06E-02	4.81E-02
nuoF	3.22E-02	7.70E-02
ompC	2.25E+00	8.83E-01
yncE	2.22E-01	1.39E-01
tpiA	3.33E-01	4.17E-01
rpsC	6.87E-01	8.82E-01
aroG	4.21E-01	3.09E-01
deoB	7.45E-02	9.77E-02
adk	2.07E-01	1.23E-01
manX	1.33E-01	6.99E-01
cysP	2.44E-01	1.40E-01
pykA	1.62E-01	1.68E-01
glmM	8.58E-02	1.14E-01
gabD	6.16E-02	1.34E-01
ndh	5.20E-02	5.14E-02
metF	2.41E-01	1.35E-01
speA	1.59E-01	1.11E-01
lepA	8.26E-02	9.92E-02
ffh	7.64E-02	6.08E-02
secD	4.75E-02	5.95E-02
lpoA	5.92E-02	4.80E-02
rhlB	3.88E-02	4.18E-02
rapA	1.53E-02	1.92E-02
yhgF	2.39E-02	2.95E-02
kbl	1.23E-02	7.38E-03
dps	1.46E-01	1.32E-01
rpsG	1.79E+00	1.12E+00
serA	8.32E-01	7.10E-01
asd	9.14E-01	5.29E-01
fbaB	1.37E-01	2.27E-01
pgl	1.09E-01	1.96E-01
rpsD	5.30E-01	6.11E-01
efeO	4.34E-02	4.86E-02
agp	3.80E-02	9.33E-02
kdsA	1.35E-01	1.70E-01
galU	8.85E-02	8.29E-02
minD	1.36E-01	1.43E-01
dacC	7.14E-02	7.52E-02
cyoA	1.51E-01	1.97E-01
purT	1.67E-01	9.97E-02
pepQ	1.03E-01	1.11E-01
mdoG	9.54E-02	9.33E-02
proA	6.99E-02	6.89E-02
btuB	7.67E-02	4.84E-02
yajO	2.81E-02	2.57E-02
gabT	4.55E-02	1.24E-01
prfC	8.15E-02	4.26E-02
pssA	2.59E-02	5.11E-02
corC	1.19E-02	2.29E-02
proB	4.40E-02	4.06E-02
yfhM	8.69E-03	1.99E-02
ggt	1.76E-02	2.12E-02
prpD	8.36E-03	8.10E-03
upp	8.71E-01	6.07E-01
rplC	6.09E-01	4.49E-01
prs	4.22E-01	3.90E-01
grpE	2.13E-01	1.80E-01
hisJ	5.08E-01	3.49E-01
pepD	2.11E-01	2.37E-01
dapD	5.45E-01	2.88E-01
ackA	2.20E-01	1.44E-01
udp	7.77E-02	1.79E-01
bfr	1.05E-01	1.55E-01
argE	1.51E-01	9.18E-02
phoP	1.26E-01	1.15E-01
aspA	9.57E-03	7.12E-02
atpG	1.21E-01	1.28E-01
ydgH	1.53E-01	1.22E-01
hisG	2.23E-01	1.09E-01
ilvI	4.60E-02	4.72E-02
glmU	3.34E-02	4.10E-02
pepP	5.10E-02	6.72E-02
fumC	4.17E-02	1.14E-01
cusB	1.71E-01	9.65E-02
deoA	1.06E-02	8.14E-03
bglA	3.39E-02	2.53E-02
ispG	3.98E-02	2.21E-02
pncB	4.51E-02	3.65E-02
fdoG	2.44E-03	2.61E-03
metQ	1.46E+00	8.32E-01
luxS	2.22E-01	1.63E-01
rpsF	4.54E-01	3.43E-01
rpsE	5.27E-01	4.10E-01
glnH	3.05E-01	4.85E-01
tktB	9.13E-02	1.07E-01
galF	2.65E-01	1.78E-01
dapB	1.47E-01	6.99E-02
mtlD	4.95E-02	5.22E-02
pntB	2.41E-01	3.01E-01
tyrS	1.80E-01	1.27E-01
hemL	2.19E-01	1.60E-01
pntA	1.76E-01	2.42E-01
dkgA	1.69E-02	2.41E-02
purD	1.61E-01	8.86E-02
map	7.19E-02	5.38E-02
gcd	6.23E-03	1.09E-02
recA	9.54E-02	1.47E-01
ghrB	1.05E-01	7.30E-02
yfbU	3.99E-02	4.11E-02
hldE	6.79E-02	4.88E-02
pyrD	9.42E-02	5.92E-02
yjgR	1.57E-02	1.61E-02
treA	6.95E-03	1.14E-02
tyrB	1.28E-01	1.08E-01
nagE	3.02E-02	1.41E-01
gshA	5.31E-02	3.14E-02
ligA	3.55E-02	3.90E-02
rfbB	6.79E-02	3.91E-02
miaB	8.61E-02	4.33E-02
srmB	2.49E-02	4.40E-02
murA	4.83E-02	3.89E-02
ubiE	4.33E-02	3.73E-02
dxs	3.35E-02	3.67E-02
tyrR	1.27E-02	2.13E-02
