Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#adp_c,-0.04016129014128958,0.0,1.0,0.09021551114378523,0.01804310216610301
c#atp_c,0.1187928012125002,1.0,0.0,0.09021551114378523,0.01804310216610301
c#dgdp_c,0.0007602705808546382,1.0,0.0,0.09021551114378523,0.01804310216610301
c#dgtp_c,-1.565996589896358e-8,0.0,1.0,0.09021551114378523,0.01804310216610301
c#dcdp_c,0.00023979838433717452,1.0,0.0,0.09021551114378523,0.01804310216610301
c#dctp_c,-3.94793604876271e-9,0.0,1.0,0.09021551114378523,0.01804310216610301
c#amp_c,0.09437282522923009,1.0,0.0,0.09021551114378523,0.01804310216610301
c#utp_c,-0.0037035906006836305,0.0,1.0,0.09021551114378523,0.01804310216610301
c#udp_c,0.00575266403900215,1.0,0.0,0.09021551114378523,0.01804310216610301
c#ctp_c,-0.0025883145464665044,0.0,1.0,0.09021551114378523,0.01804310216610301
c#cdp_c,0.0033887948966957906,1.0,0.0,0.09021551114378523,0.01804310216610301
c#dtdp_c,0.0004412112892896752,1.0,0.0,0.09021551114378523,0.01804310216610301
c#dttp_c,-2.3699294451567307e-9,0.0,1.0,0.09021551114378523,0.01804310216610301
c#gdp_c,0.013837236804304664,1.0,0.0,0.09021551114378523,0.01804310216610301
c#gtp_c,-0.012131381976493359,0.0,1.0,0.09021551114378523,0.01804310216610301
c#co2_c,-1.893941789941579e-11,0.0,0.0,0.09021551114378523,0.01804310216610301
c#6pgc_c,1.8695612245537906e-11,0.0,0.0,0.09021551114378523,0.01804310216610301
c#ru5p__D_c,-1.813341415781688e-11,0.0,0.0,0.09021551114378523,0.01804310216610301
c#nadp_c,1.2832467673408094e-11,0.0,0.0,0.09021551114378523,0.01804310216610301
c#nadph_c,-1.2197408196118363e-11,0.0,0.0,0.09021551114378523,0.01804310216610301
c#pi_c,7.485759747019542e-12,0.0,0.0,0.09021551114378523,0.01804310216610301
c#13dpg_c,7.415413867680345e-12,0.0,0.0,0.09021551114378523,0.01804310216610301
c#nh4_c,5.833692200936625e-12,0.0,0.0,0.09021551114378523,0.01804310216610301
c#glu__L_c,-5.709464089094019e-12,0.0,0.0,0.09021551114378523,0.01804310216610301
c#akg_c,5.463327459921256e-12,0.0,0.0,0.09021551114378523,0.01804310216610301
c#q8h2_c,4.006201996577162e-12,0.0,0.0,0.09021551114378523,0.01804310216610301
c#q8_c,-3.590476040224057e-12,0.0,0.0,0.09021551114378523,0.01804310216610301
c#3pg_c,-3.4446834882353177e-12,0.0,0.0,0.09021551114378523,0.01804310216610301
c#o2_c,2.0136024179519935e-12,0.0,0.0,0.09021551114378523,0.01804310216610301
c#aspsa_c,1.091426128289789e-12,0.0,0.0,0.09021551114378523,0.01804310216610301
c#asp__L_c,5.003068324038153e-13,0.0,0.0,0.09021551114378523,0.01804310216610301
c#pep_c,4.1252472354185657e-13,0.0,0.0,0.09021551114378523,0.01804310216610301
c#r5p_c,-4.018308749618271e-13,0.0,0.0,0.09021551114378523,0.01804310216610301
c#cbp_c,3.597859039917705e-13,0.0,0.0,0.09021551114378523,0.01804310216610301
c#cbasp_c,-3.5167415744691483e-13,0.0,0.0,0.09021551114378523,0.01804310216610301
c#icit_c,3.4406696966840437e-13,0.0,0.0,0.09021551114378523,0.01804310216610301
c#hom__L_c,-3.3480822940643555e-13,0.0,0.0,0.09021551114378523,0.01804310216610301
c#coa_c,3.1354425497873243e-13,0.0,0.0,0.09021551114378523,0.01804310216610301
c#for_c,-3.113642507416817e-13,0.0,0.0,0.09021551114378523,0.01804310216610301
c#accoa_c,-3.1116023342470235e-13,0.0,0.0,0.09021551114378523,0.01804310216610301
