Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#3psme_c,-0.792610893339989,0.0,1.0,0.09021551114378523,0.018043100717777046
c#skm5p_c,0.9935620300685759,1.0,0.0,0.09021551114378523,0.018043100717777046
c#pep_c,0.9935620300687663,1.0,0.0,0.09021551114378523,0.018043100717777046
c#pi_c,-0.7926108933365309,0.0,1.0,0.09021551114378523,0.018043100717777046
c#co2_c,-8.75838645655772e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#6pgc_c,8.645640421687996e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#ru5p__D_c,-8.38565631479408e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#adp_c,7.1454132429252246e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#nadp_c,5.934275174973066e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#nadph_c,-5.6405972261409115e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#atp_c,-5.1860608371054234e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#13dpg_c,3.4292005011467545e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#nh4_c,2.6977453782017395e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#glu__L_c,-2.6402970997184976e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#akg_c,2.5264732618119438e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#q8h2_c,1.852636516270957e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#q8_c,-1.6603873479844996e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#3pg_c,-1.5929670948804614e-12,0.0,0.0,0.09021551114378523,0.018043100717777046
c#o2_c,9.311744863162047e-13,0.0,0.0,0.09021551114378523,0.018043100717777046
c#aspsa_c,5.047209342199905e-13,0.0,0.0,0.09021551114378523,0.018043100717777046
c#asp__L_c,2.3136282551462903e-13,0.0,0.0,0.09021551114378523,0.018043100717777046
c#r5p_c,-1.8582361112981671e-13,0.0,0.0,0.09021551114378523,0.018043100717777046
c#cbp_c,1.6638006168989004e-13,0.0,0.0,0.09021551114378523,0.018043100717777046
c#cbasp_c,-1.6262886199498234e-13,0.0,0.0,0.09021551114378523,0.018043100717777046
c#icit_c,1.591109348912969e-13,0.0,0.0,0.09021551114378523,0.018043100717777046
c#hom__L_c,-1.548292725738329e-13,0.0,0.0,0.09021551114378523,0.018043100717777046
c#coa_c,1.4499581614238652e-13,0.0,0.0,0.09021551114378523,0.018043100717777046
c#for_c,-1.4398768879281994e-13,0.0,0.0,0.09021551114378523,0.018043100717777046
c#accoa_c,-1.4389334548293648e-13,0.0,0.0,0.09021551114378523,0.018043100717777046
