Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#adp_c,-0.0001748201032660309,0.0,1.0,0.16781521955907558,0.03356304386008896
c#atp_c,1.190076220164801,1.0,0.0,0.16781521955907558,0.03356304386008896
c#glu__L_c,-8.741005544924333e-5,0.0,1.0,0.16781521955907558,0.03356304386008896
c#h2o_c,-0.0,1.0,0.0,0.16781521955907558,0.03356304386008896
c#gln__L_c,0.5950381100824199,1.0,0.0,0.16781521955907558,0.03356304386008896
c#cbp_c,-8.741005164030536e-5,0.0,1.0,0.16781521955907558,0.03356304386008896
c#pi_c,-8.741005166494648e-5,0.0,1.0,0.16781521955907558,0.03356304386008896
c#h_c,-0.0,0.0,1.0,0.16781521955907558,0.03356304386008896
c#hco3_c,0.5950381100824084,1.0,0.0,0.16781521955907558,0.03356304386008896
c#akg_c,4.9202714860884765e-12,0.0,0.0,0.16781521955907558,0.03356304386008896
c#nh4_c,4.920195209357501e-12,0.0,0.0,0.16781521955907558,0.03356304386008896
c#nadph_c,3.61753669413266e-12,0.0,0.0,0.16781521955907558,0.03356304386008896
c#nadp_c,-2.483396399714164e-12,0.0,0.0,0.16781521955907558,0.03356304386008896
c#6pgc_c,1.3686976405332851e-12,0.0,0.0,0.16781521955907558,0.03356304386008896
c#ru5p__D_c,-1.2945234651644883e-12,0.0,0.0,0.16781521955907558,0.03356304386008896
c#co2_c,-1.2657506171941677e-12,0.0,0.0,0.16781521955907558,0.03356304386008896
c#pep_c,1.0318786071276224e-13,0.0,0.0,0.16781521955907558,0.03356304386008896
c#r5p_c,-4.832238826400626e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#oaa_c,-4.495818996570152e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#pyr_c,4.0655275923389936e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#2ahbut_c,3.209697597238942e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#f6p_c,3.096182375286946e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#aspsa_c,2.7506463408993747e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#23dhmp_c,-2.6046180545357855e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#thdp_c,-1.7713794786713215e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#xu5p__D_c,1.6008559383759443e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#coa_c,1.3121788525794658e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#nad_c,1.1778993909020676e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#nadh_c,-1.140365990023652e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#alac__S_c,1.0129563106491336e-14,0.0,0.0,0.16781521955907558,0.03356304386008896
c#e4p_c,9.4250615128308e-15,0.0,0.0,0.16781521955907558,0.03356304386008896
c#13dpg_c,-9.260848470824246e-15,0.0,0.0,0.16781521955907558,0.03356304386008896
c#gam6p_c,-9.096999778188685e-15,0.0,0.0,0.16781521955907558,0.03356304386008896
c#23dhdp_c,9.057320360211898e-15,0.0,0.0,0.16781521955907558,0.03356304386008896
