Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#g3p_c,0.15135998928105604,1.0,0.0,0.36105566071089373,0.36105566072793466
c#co2_c,0.01450479514275756,0.0,1.0,0.36105566071089373,0.36105566072793466
c#dxyl5p_c,7.305510558444015e-6,0.0,1.0,0.36105566071089373,0.36105566072793466
c#pyr_c,-0.04898504229989439,1.0,0.0,0.36105566071089373,0.36105566072793466
c#h_c,-0.0,1.0,0.0,0.36105566071089373,0.36105566072793466
c#nadph_c,0.20999724422828525,0.0,0.0,0.36105566071089373,0.36105566072793466
c#nh4_c,0.20667071721620908,0.0,0.0,0.36105566071089373,0.36105566072793466
c#akg_c,0.19979752142779658,0.0,0.0,0.36105566071089373,0.36105566072793466
c#pep_c,0.17746009269853638,0.0,0.0,0.36105566071089373,0.36105566072793466
c#nad_c,0.12437174219429628,0.0,0.0,0.36105566071089373,0.36105566072793466
c#glc__D_p,0.11584157204257238,0.0,0.0,0.36105566071089373,0.36105566072793466
c#pi_c,0.10899454415365142,0.0,0.0,0.36105566071089373,0.36105566072793466
c#glu__L_c,-0.10086874488745504,0.0,0.0,0.36105566071089373,0.36105566072793466
c#g6p_c,-0.09283866318208273,0.0,0.0,0.36105566071089373,0.36105566072793466
c#nadp_c,-0.07373503022097265,0.0,0.0,0.36105566071089373,0.36105566072793466
c#nadh_c,-0.06855607342533983,0.0,0.0,0.36105566071089373,0.36105566072793466
c#13dpg_c,-0.05462281997348627,0.0,0.0,0.36105566071089373,0.36105566072793466
c#coa_c,0.04932546426893161,0.0,0.0,0.36105566071089373,0.36105566072793466
c#6pgc_c,0.0411899115078299,0.0,0.0,0.36105566071089373,0.36105566072793466
c#4pasp_c,0.03459261272714135,0.0,0.0,0.36105566071089373,0.36105566072793466
c#oaa_c,0.028328683603890837,0.0,0.0,0.36105566071089373,0.36105566072793466
c#s7p_c,0.027282009131830424,0.0,0.0,0.36105566071089373,0.36105566072793466
c#accoa_c,0.025081985168837247,0.0,0.0,0.36105566071089373,0.36105566072793466
c#3pg_c,-0.02184485932515769,0.0,0.0,0.36105566071089373,0.36105566072793466
c#r5p_c,-0.01555319951279287,0.0,0.0,0.36105566071089373,0.36105566072793466
c#adp_c,0.015293414491948841,0.0,0.0,0.36105566071089373,0.36105566072793466
c#xu5p__D_c,0.01339195920768193,0.0,0.0,0.36105566071089373,0.36105566072793466
c#amp_c,-0.012580960720605504,0.0,0.0,0.36105566071089373,0.36105566072793466
c#gln__L_c,0.012208205668810694,0.0,0.0,0.36105566071089373,0.36105566072793466
c#mlthf_c,0.012095398700100991,0.0,0.0,0.36105566071089373,0.36105566072793466
