Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#h2o_c,-0.0,0.0,1.0,0.2796588984038576,0.05593177920083989
c#2pg_c,0.6807434093558438,1.0,0.0,0.2796588984038576,0.05593177920083989
c#pep_c,-0.6807434093547263,0.0,1.0,0.2796588984038576,0.05593177920083989
c#nh4_c,2.743277490885375e-11,0.0,0.0,0.2796588984038576,0.05593177920083989
c#akg_c,2.7418134741116576e-11,0.0,0.0,0.2796588984038576,0.05593177920083989
c#glu__L_c,-1.832970391104054e-11,0.0,0.0,0.2796588984038576,0.05593177920083989
c#nadph_c,1.5492656506676865e-11,0.0,0.0,0.2796588984038576,0.05593177920083989
c#6pgc_c,1.2265079203036748e-11,0.0,0.0,0.2796588984038576,0.05593177920083989
c#co2_c,-1.1449287145592669e-11,0.0,0.0,0.2796588984038576,0.05593177920083989
c#ru5p__D_c,-1.1336076845438997e-11,0.0,0.0,0.2796588984038576,0.05593177920083989
c#nadp_c,-6.202343367024191e-12,0.0,0.0,0.2796588984038576,0.05593177920083989
c#r5p_c,-4.99877271828307e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#glc__D_p,3.2221490701663603e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#g3p_c,2.822399577606475e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#nad_c,2.491771954980984e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#nadh_c,-2.4138800787745e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#pi_c,2.215747401435398e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#g6p_c,-2.0705536450279632e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#2ahbut_c,2.0020433872702778e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#aspsa_c,1.9968506267419327e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#13dpg_c,-1.9642347144916228e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#pyr_c,1.8107437480825965e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#coa_c,1.7304432616888154e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#adp_c,1.3602989049661312e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#atp_c,-1.316722387698235e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#23dhmp_c,-1.2327802198805795e-13,0.0,0.0,0.2796588984038576,0.05593177920083989
c#oaa_c,-8.600709689606793e-14,0.0,0.0,0.2796588984038576,0.05593177920083989
c#3pg_c,-8.56721974133658e-14,0.0,0.0,0.2796588984038576,0.05593177920083989
