Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#g3p_c,-0.7732990724600909,0.0,1.0,0.09021551114378523,0.018043102137532217
c#dhap_c,-0.7732990724601471,0.0,1.0,0.09021551114378523,0.018043102137532217
c#fdp_c,0.7740857879505882,1.0,0.0,0.09021551114378523,0.018043102137532217
c#co2_c,-2.7576139312584627e-11,0.0,0.0,0.09021551114378523,0.018043102137532217
c#6pgc_c,2.7221153805296846e-11,0.0,0.0,0.09021551114378523,0.018043102137532217
c#ru5p__D_c,-2.6402583129605407e-11,0.0,0.0,0.09021551114378523,0.018043102137532217
c#adp_c,2.2497626822750627e-11,0.0,0.0,0.09021551114378523,0.018043102137532217
c#nadp_c,1.8684308432135414e-11,0.0,0.0,0.09021551114378523,0.018043102137532217
c#nadph_c,-1.7759650733047795e-11,0.0,0.0,0.09021551114378523,0.018043102137532217
c#atp_c,-1.6328525333322918e-11,0.0,0.0,0.09021551114378523,0.018043102137532217
c#pi_c,1.0899403899737368e-11,0.0,0.0,0.09021551114378523,0.018043102137532217
c#13dpg_c,1.079697846887248e-11,0.0,0.0,0.09021551114378523,0.018043102137532217
c#nh4_c,8.493962400864768e-12,0.0,0.0,0.09021551114378523,0.018043102137532217
c#glu__L_c,-8.313084060673022e-12,0.0,0.0,0.09021551114378523,0.018043102137532217
c#akg_c,7.954704811288064e-12,0.0,0.0,0.09021551114378523,0.018043102137532217
c#q8h2_c,5.833102854386051e-12,0.0,0.0,0.09021551114378523,0.018043102137532217
c#q8_c,-5.227798343907656e-12,0.0,0.0,0.09021551114378523,0.018043102137532217
c#3pg_c,-5.0155222667387284e-12,0.0,0.0,0.09021551114378523,0.018043102137532217
c#o2_c,2.9318415826598216e-12,0.0,0.0,0.09021551114378523,0.018043102137532217
c#aspsa_c,1.5891355791184272e-12,0.0,0.0,0.09021551114378523,0.018043102137532217
c#asp__L_c,7.284556542556705e-13,0.0,0.0,0.09021551114378523,0.018043102137532217
c#pep_c,6.006428182205233e-13,0.0,0.0,0.09021551114378523,0.018043102137532217
c#r5p_c,-5.850731844443512e-13,0.0,0.0,0.09021551114378523,0.018043102137532217
c#cbp_c,5.238546760922455e-13,0.0,0.0,0.09021551114378523,0.018043102137532217
c#cbasp_c,-5.120438454250239e-13,0.0,0.0,0.09021551114378523,0.018043102137532217
c#icit_c,5.009675793653334e-13,0.0,0.0,0.09021551114378523,0.018043102137532217
c#hom__L_c,-4.874866405997107e-13,0.0,0.0,0.09021551114378523,0.018043102137532217
c#coa_c,4.565257639084042e-13,0.0,0.0,0.09021551114378523,0.018043102137532217
