Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#nad_c,0.6796472597328869,1.0,0.0,0.2796588984038576,0.055931779537746126
c#g3p_c,0.6796472597328965,1.0,0.0,0.2796588984038576,0.055931779537746126
c#13dpg_c,-0.6718885514070618,0.0,1.0,0.2796588984038576,0.055931779537746126
c#pi_c,0.679647259732879,1.0,0.0,0.2796588984038576,0.055931779537746126
c#h_c,-0.0,0.0,1.0,0.2796588984038576,0.055931779537746126
c#nadh_c,-0.6718885514070752,0.0,1.0,0.2796588984038576,0.055931779537746126
c#nh4_c,8.175347983685865e-12,0.0,0.0,0.2796588984038576,0.055931779537746126
c#akg_c,8.170985010353404e-12,0.0,0.0,0.2796588984038576,0.055931779537746126
c#glu__L_c,-5.4625063780968825e-12,0.0,0.0,0.2796588984038576,0.055931779537746126
c#nadph_c,4.6170268433127476e-12,0.0,0.0,0.2796588984038576,0.055931779537746126
c#6pgc_c,3.655163972829009e-12,0.0,0.0,0.2796588984038576,0.055931779537746126
c#co2_c,-3.4120466081363665e-12,0.0,0.0,0.2796588984038576,0.055931779537746126
c#ru5p__D_c,-3.3783083657882116e-12,0.0,0.0,0.2796588984038576,0.055931779537746126
c#nadp_c,-1.8483844786707145e-12,0.0,0.0,0.2796588984038576,0.055931779537746126
c#pep_c,3.316579419626203e-13,0.0,0.0,0.2796588984038576,0.055931779537746126
c#r5p_c,-1.489703706709823e-13,0.0,0.0,0.2796588984038576,0.055931779537746126
c#glc__D_p,9.602451792301908e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#g6p_c,-6.170537466567895e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#2ahbut_c,5.966367385549303e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#aspsa_c,5.950892240451571e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#pyr_c,5.3962678864159523e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#coa_c,5.156961277291203e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#adp_c,4.0538796877208864e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#atp_c,-3.9240156153354196e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#23dhmp_c,-3.6738562931361575e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#oaa_c,-2.5631309544235645e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#3pg_c,-2.5531504842024687e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#gln__L_c,2.303102593291309e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#f6p_c,1.8347335967795175e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#gam6p_c,-1.6434768265142397e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
c#alac__S_c,1.5590392551628057e-14,0.0,0.0,0.2796588984038576,0.055931779537746126
