Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#glu__L_c,-0.9722098650216396,0.0,1.0,0.09021551114378523,0.018043101893441785
c#h2o_c,-0.0,0.0,1.0,0.09021551114378523,0.018043101893441785
c#nadph_c,0.9764352348164504,1.0,0.0,0.09021551114378523,0.018043101893441785
c#akg_c,0.9764352348226858,1.0,0.0,0.09021551114378523,0.018043101893441785
c#nh4_c,0.976435234822817,1.0,0.0,0.09021551114378523,0.018043101893441785
c#nadp_c,-0.9722098650150929,0.0,1.0,0.09021551114378523,0.018043101893441785
c#h_c,-0.0,1.0,0.0,0.09021551114378523,0.018043101893441785
c#co2_c,-6.686942226656196e-12,0.0,0.0,0.09021551114378523,0.018043101893441785
c#6pgc_c,6.600861733829229e-12,0.0,0.0,0.09021551114378523,0.018043101893441785
c#ru5p__D_c,-6.402366416518757e-12,0.0,0.0,0.09021551114378523,0.018043101893441785
c#adp_c,5.4554529864625465e-12,0.0,0.0,0.09021551114378523,0.018043101893441785
c#atp_c,-3.959506626471995e-12,0.0,0.0,0.09021551114378523,0.018043101893441785
c#pi_c,2.6429982960196317e-12,0.0,0.0,0.09021551114378523,0.018043101893441785
c#13dpg_c,2.6181609770678053e-12,0.0,0.0,0.09021551114378523,0.018043101893441785
c#q8h2_c,1.41446981663431e-12,0.0,0.0,0.09021551114378523,0.018043101893441785
c#q8_c,-1.2676894618652535e-12,0.0,0.0,0.09021551114378523,0.018043101893441785
c#3pg_c,-1.2162147660079414e-12,0.0,0.0,0.09021551114378523,0.018043101893441785
c#o2_c,7.109425896797348e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#aspsa_c,3.8534947662250227e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#asp__L_c,1.766432467929514e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#pep_c,1.4564975114563134e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#r5p_c,-1.418745068789534e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#cbp_c,1.2702954426401397e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#cbasp_c,-1.2416554031240867e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#icit_c,1.2147963669959739e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#hom__L_c,-1.1821062895386314e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#coa_c,1.1070287963035367e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#for_c,-1.099331842548972e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#accoa_c,-1.0986115411365257e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#pyr_c,1.018494519035036e-13,0.0,0.0,0.09021551114378523,0.018043101893441785
c#glc__D_e,5.567462651600464e-14,0.0,0.0,0.09021551114378523,0.018043101893441785
c#g6p_c,-5.289722674836568e-14,0.0,0.0,0.09021551114378523,0.018043101893441785
