Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#glu__L_c,-0.5164585459628499,0.0,1.0,0.37792330142452113,0.07099684923534913
c#f6p_c,0.8167290643834669,1.0,0.0,0.37792330142452113,0.07099684923534913
c#gln__L_c,0.816729064386321,1.0,0.0,0.37792330142452113,0.07099684923534913
c#gam6p_c,-0.5164585459518205,0.0,1.0,0.37792330142452113,0.07099684923534913
c#ru5p__D_c,4.0894477389669703e-11,0.0,0.0,0.37792330142452113,0.07099684923534913
c#r5p_c,-2.4234480000429873e-11,0.0,0.0,0.37792330142452113,0.07099684923534913
c#nh4_c,2.1538056366415078e-11,0.0,0.0,0.37792330142452113,0.07099684923534913
c#akg_c,2.1519203664986262e-11,0.0,0.0,0.37792330142452113,0.07099684923534913
c#nadph_c,1.5477666183448867e-11,0.0,0.0,0.37792330142452113,0.07099684923534913
c#g3p_c,8.277934880459669e-12,0.0,0.0,0.37792330142452113,0.07099684923534913
c#6pgc_c,6.714287701797213e-12,0.0,0.0,0.37792330142452113,0.07099684923534913
c#co2_c,-6.174717653589962e-12,0.0,0.0,0.37792330142452113,0.07099684923534913
c#s7p_c,6.0359855078584915e-12,0.0,0.0,0.37792330142452113,0.07099684923534913
c#nadp_c,-4.5635934886880005e-12,0.0,0.0,0.37792330142452113,0.07099684923534913
c#e4p_c,-2.7159416771695085e-12,0.0,0.0,0.37792330142452113,0.07099684923534913
c#nad_c,2.257024222528954e-12,0.0,0.0,0.37792330142452113,0.07099684923534913
c#pi_c,2.021128762166342e-12,0.0,0.0,0.37792330142452113,0.07099684923534913
c#nadh_c,-1.76668663132917e-12,0.0,0.0,0.37792330142452113,0.07099684923534913
c#13dpg_c,-1.4363833975280928e-12,0.0,0.0,0.37792330142452113,0.07099684923534913
c#pep_c,1.2758573798046102e-12,0.0,0.0,0.37792330142452113,0.07099684923534913
c#glc__D_p,8.084466938182624e-13,0.0,0.0,0.37792330142452113,0.07099684923534913
c#xu5p__D_c,5.939680031900215e-13,0.0,0.0,0.37792330142452113,0.07099684923534913
c#g6p_c,-5.664244178059423e-13,0.0,0.0,0.37792330142452113,0.07099684923534913
c#4pasp_c,5.036558874009943e-13,0.0,0.0,0.37792330142452113,0.07099684923534913
c#coa_c,4.92365669243604e-13,0.0,0.0,0.37792330142452113,0.07099684923534913
c#3pg_c,-3.2899435904237165e-13,0.0,0.0,0.37792330142452113,0.07099684923534913
c#oaa_c,3.2380386195038726e-13,0.0,0.0,0.37792330142452113,0.07099684923534913
c#accoa_c,3.0808202925403393e-13,0.0,0.0,0.37792330142452113,0.07099684923534913
c#adp_c,2.7676353008343355e-13,0.0,0.0,0.37792330142452113,0.07099684923534913
