Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#coa_c,-0.07915483207396452,0.0,1.0,0.2796588984038576,0.05593177748892542
c#h2o_c,-0.0,1.0,0.0,0.2796588984038576,0.05593177748892542
c#accoa_c,0.08552927339438338,1.0,0.0,0.2796588984038576,0.05593177748892542
c#cit_c,-0.07915483207398621,0.0,1.0,0.2796588984038576,0.05593177748892542
c#oaa_c,0.0855292733943725,1.0,0.0,0.2796588984038576,0.05593177748892542
c#h_c,-0.0,0.0,1.0,0.2796588984038576,0.05593177748892542
c#nh4_c,3.4335580094608894e-12,0.0,0.0,0.2796588984038576,0.05593177748892542
c#akg_c,3.4317256077082722e-12,0.0,0.0,0.2796588984038576,0.05593177748892542
c#glu__L_c,-2.2941937839690387e-12,0.0,0.0,0.2796588984038576,0.05593177748892542
c#nadph_c,1.9391014951671736e-12,0.0,0.0,0.2796588984038576,0.05593177748892542
c#6pgc_c,1.5351294597385466e-12,0.0,0.0,0.2796588984038576,0.05593177748892542
c#co2_c,-1.4330227879335825e-12,0.0,0.0,0.2796588984038576,0.05593177748892542
c#ru5p__D_c,-1.4188530897532585e-12,0.0,0.0,0.2796588984038576,0.05593177748892542
c#nadp_c,-7.763015525605517e-13,0.0,0.0,0.2796588984038576,0.05593177748892542
c#pep_c,1.3929275957578987e-13,0.0,0.0,0.2796588984038576,0.05593177748892542
c#r5p_c,-6.256594954248164e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#glc__D_p,4.0329262152519116e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#g3p_c,3.532589284069073e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#nad_c,3.118767087718134e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#nadh_c,-3.021275574486253e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#pi_c,2.7732875230024834e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#g6p_c,-2.5915592028099554e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#2ahbut_c,2.5058099717101126e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#aspsa_c,2.4993105787744155e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#13dpg_c,-2.4584876501184598e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#pyr_c,2.2663743280273346e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#adp_c,1.7025857594261206e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#atp_c,-1.6480442501397516e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#23dhmp_c,-1.5429800310787655e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#3pg_c,-1.0722956746319989e-14,0.0,0.0,0.2796588984038576,0.05593177748892542
c#gln__L_c,9.672782522168951e-15,0.0,0.0,0.2796588984038576,0.05593177748892542
