Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#nadph_c,0.5614793745843083,1.0,0.0,0.2796588984038576,0.05593177921683864
c#23dhmb_c,-0.05958160668662845,0.0,1.0,0.2796588984038576,0.05593177921683864
c#alac__S_c,0.11632103203362384,1.0,0.0,0.2796588984038576,0.05593177921683864
c#nadp_c,-0.333691775496081,0.0,1.0,0.2796588984038576,0.05593177921683864
c#h_c,-0.0,1.0,0.0,0.2796588984038576,0.05593177921683864
c#23dhmp_c,-0.2741101688076454,0.0,1.0,0.2796588984038576,0.05593177921683864
c#2ahbut_c,0.4451583425461338,1.0,0.0,0.2796588984038576,0.05593177921683864
c#pant__R_c,2.4789219604066438e-17,0.0,1.0,0.2796588984038576,0.05593177921683864
c#2dhp_c,2.3451727033439303e-20,1.0,0.0,0.2796588984038576,0.05593177921683864
c#nh4_c,8.191678688926733e-12,0.0,0.0,0.2796588984038576,0.05593177921683864
c#akg_c,8.187307000315782e-12,0.0,0.0,0.2796588984038576,0.05593177921683864
c#glu__L_c,-5.473418033689987e-12,0.0,0.0,0.2796588984038576,0.05593177921683864
c#6pgc_c,3.662465363013143e-12,0.0,0.0,0.2796588984038576,0.05593177921683864
c#co2_c,-3.418862358064374e-12,0.0,0.0,0.2796588984038576,0.05593177921683864
c#ru5p__D_c,-3.3850567217372925e-12,0.0,0.0,0.2796588984038576,0.05593177921683864
c#pep_c,3.323204468734535e-13,0.0,0.0,0.2796588984038576,0.05593177921683864
c#r5p_c,-1.4926794714300178e-13,0.0,0.0,0.2796588984038576,0.05593177921683864
c#glc__D_p,9.621633215913378e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#g3p_c,8.427944507703698e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#nad_c,7.440660044791911e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#nadh_c,-7.208067745014409e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#pi_c,6.616425363170382e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#g6p_c,-6.182863453261501e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#aspsa_c,5.962779473637029e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#13dpg_c,-5.86538536456991e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#pyr_c,5.407047227177881e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#coa_c,5.167262590120061e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#adp_c,4.0619775344666384e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#atp_c,-3.931854051436638e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#oaa_c,-2.5682509489201198e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#3pg_c,-2.5582505421732225e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#gln__L_c,2.307703167120084e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#f6p_c,1.838398577795717e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
c#gam6p_c,-1.646759761603967e-14,0.0,0.0,0.2796588984038576,0.05593177921683864
