Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#adp_c,-0.024279890549940373,0.0,1.0,0.06674851197951809,0.013349702365054327
c#atp_c,0.17376565584022274,1.0,0.0,0.06674851197951809,0.013349702365054327
c#co2_c,-0.02427989059223189,0.0,1.0,0.06674851197951809,0.013349702365054327
c#pep_c,-0.024279890581305134,0.0,1.0,0.06674851197951809,0.013349702365054327
c#oaa_c,0.17376565587152834,1.0,0.0,0.06674851197951809,0.013349702365054327
c#pi_c,3.042324146808918e-11,0.0,0.0,0.06674851197951809,0.013349702365054327
c#6pgc_c,1.073079339499851e-11,0.0,0.0,0.06674851197951809,0.013349702365054327
c#ru5p__D_c,-1.030994345569801e-11,0.0,0.0,0.06674851197951809,0.013349702365054327
c#nh4_c,8.162511884934936e-12,0.0,0.0,0.06674851197951809,0.013349702365054327
c#glu__L_c,-8.126531526932694e-12,0.0,0.0,0.06674851197951809,0.013349702365054327
c#akg_c,8.071008547605931e-12,0.0,0.0,0.06674851197951809,0.013349702365054327
c#q8h2_c,4.377362796885065e-12,0.0,0.0,0.06674851197951809,0.013349702365054327
c#q8_c,-3.9510805458302836e-12,0.0,0.0,0.06674851197951809,0.013349702365054327
c#nadp_c,2.8283912202769887e-12,0.0,0.0,0.06674851197951809,0.013349702365054327
c#nadph_c,-2.7223435873097476e-12,0.0,0.0,0.06674851197951809,0.013349702365054327
c#o2_c,2.1904877992934943e-12,0.0,0.0,0.06674851197951809,0.013349702365054327
c#13dpg_c,1.3268318533963198e-12,0.0,0.0,0.06674851197951809,0.013349702365054327
c#3pg_c,-1.1595895912034597e-12,0.0,0.0,0.06674851197951809,0.013349702365054327
c#6pgl_c,-2.8620667945604003e-13,0.0,0.0,0.06674851197951809,0.013349702365054327
c#r5p_c,-2.639839292586769e-13,0.0,0.0,0.06674851197951809,0.013349702365054327
c#g6p_c,1.7271286654243172e-13,0.0,0.0,0.06674851197951809,0.013349702365054327
c#aspsa_c,1.6913442103890123e-13,0.0,0.0,0.06674851197951809,0.013349702365054327
c#glc__D_e,1.4575898841439064e-13,0.0,0.0,0.06674851197951809,0.013349702365054327
c#asp__L_c,1.262184212394111e-13,0.0,0.0,0.06674851197951809,0.013349702365054327
c#f6p_c,1.1874582946091955e-13,0.0,0.0,0.06674851197951809,0.013349702365054327
c#for_c,-9.30173466203937e-14,0.0,0.0,0.06674851197951809,0.013349702365054327
c#icit_c,9.021500096231661e-14,0.0,0.0,0.06674851197951809,0.013349702365054327
c#coa_c,9.005129546521844e-14,0.0,0.0,0.06674851197951809,0.013349702365054327
c#accoa_c,-8.965367648292834e-14,0.0,0.0,0.06674851197951809,0.013349702365054327
c#cbp_c,8.518355078238891e-14,0.0,0.0,0.06674851197951809,0.013349702365054327
