Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#adp_c,-1.0547544048949116,0.0,1.0,0.07015555038233712,0.0140311096697631
c#atp_c,1.0573252388812506,1.0,0.0,0.07015555038233712,0.0140311096697631
c#s7p_c,1.0573252389209993,1.0,0.0,0.07015555038233712,0.0140311096697631
c#h_c,-0.0,0.0,1.0,0.07015555038233712,0.0140311096697631
c#s17bp_c,-1.0547544049380286,0.0,1.0,0.07015555038233712,0.0140311096697631
c#13dpg_c,4.0660732818482157e-11,0.0,0.0,0.07015555038233712,0.0140311096697631
c#3pg_c,-3.7464193252614984e-11,0.0,0.0,0.07015555038233712,0.0140311096697631
c#q8h2_c,3.3171736976121826e-12,0.0,0.0,0.07015555038233712,0.0140311096697631
c#co2_c,-3.2512369034680323e-12,0.0,0.0,0.07015555038233712,0.0140311096697631
c#q8_c,-2.991816031113105e-12,0.0,0.0,0.07015555038233712,0.0140311096697631
c#6pgc_c,2.709891814710683e-12,0.0,0.0,0.07015555038233712,0.0140311096697631
c#ru5p__D_c,-2.537568258542756e-12,0.0,0.0,0.07015555038233712,0.0140311096697631
c#nadp_c,2.2339655138470005e-12,0.0,0.0,0.07015555038233712,0.0140311096697631
c#nadph_c,-2.1052962151475973e-12,0.0,0.0,0.07015555038233712,0.0140311096697631
c#o2_c,1.665256261298668e-12,0.0,0.0,0.07015555038233712,0.0140311096697631
c#pi_c,1.5680984213677874e-12,0.0,0.0,0.07015555038233712,0.0140311096697631
c#aspsa_c,1.064365293547709e-12,0.0,0.0,0.07015555038233712,0.0140311096697631
c#pyr_c,9.014880167250542e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
c#coa_c,7.385504107461694e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
c#accoa_c,-7.17821142038617e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
c#for_c,-7.162910030602729e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
c#hom__L_c,-6.880997434128261e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
c#asp__L_c,6.786001366157754e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
c#cbp_c,6.230665140935809e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
c#cbasp_c,-6.097387860000475e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
c#icit_c,5.355837780229863e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
c#akg_c,-3.946354819482351e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
c#pep_c,1.968555391512514e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
c#thdp_c,-1.5602301162405322e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
c#23dhdp_c,1.4645468947537483e-13,0.0,0.0,0.07015555038233712,0.0140311096697631
