Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#adp_c,-0.5813729945781528,0.0,1.0,0.2796588984038576,0.05593177704821041
c#atp_c,0.7020736368687935,1.0,0.0,0.2796588984038576,0.05593177704821041
c#f6p_c,0.7020736368687963,1.0,0.0,0.2796588984038576,0.05593177704821041
c#fdp_c,-0.5813729945781546,0.0,1.0,0.2796588984038576,0.05593177704821041
c#h_c,-0.0,0.0,1.0,0.2796588984038576,0.05593177704821041
c#nh4_c,3.7416321531331647e-13,0.0,0.0,0.2796588984038576,0.05593177704821041
c#akg_c,3.739635339666381e-13,0.0,0.0,0.2796588984038576,0.05593177704821041
c#glu__L_c,-2.500039088276578e-13,0.0,0.0,0.2796588984038576,0.05593177704821041
c#nadph_c,2.113086325412094e-13,0.0,0.0,0.2796588984038576,0.05593177704821041
c#6pgc_c,1.67286813530508e-13,0.0,0.0,0.2796588984038576,0.05593177704821041
c#co2_c,-1.5615999868875726e-13,0.0,0.0,0.2796588984038576,0.05593177704821041
c#ru5p__D_c,-1.546158929759549e-13,0.0,0.0,0.2796588984038576,0.05593177704821041
c#nadp_c,-8.459547822114022e-14,0.0,0.0,0.2796588984038576,0.05593177704821041
c#pep_c,1.517907424102808e-14,0.0,0.0,0.2796588984038576,0.05593177704821041
c#r5p_c,-6.817964528245544e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#glc__D_p,4.3947788224552114e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#g3p_c,3.849549053884994e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#nad_c,3.398596818664366e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#nadh_c,-3.2923579121404736e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#pi_c,3.0221192471080316e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#g6p_c,-2.824085756335866e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#2ahbut_c,2.730642615277804e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#aspsa_c,2.723559992665481e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#13dpg_c,-2.679074182226366e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#pyr_c,2.46972377997938e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#coa_c,2.36019987297026e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#23dhmp_c,-1.6814232023320563e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#oaa_c,-1.1730747034122041e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#3pg_c,-1.1685069288886728e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
c#gln__L_c,1.0540671447526246e-15,0.0,0.0,0.2796588984038576,0.05593177704821041
