Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#h2o_c,-0.0,1.0,0.0,0.09021551114378523,0.018043101249405905
c#co2_c,0.924872938647744,1.0,0.0,0.09021551114378523,0.018043101249405905
c#pep_c,0.9248729386545625,1.0,0.0,0.09021551114378523,0.018043101249405905
c#oaa_c,-0.5357307102805344,0.0,1.0,0.09021551114378523,0.018043101249405905
c#pi_c,-0.535730710277876,0.0,1.0,0.09021551114378523,0.018043101249405905
c#h_c,-0.0,0.0,1.0,0.09021551114378523,0.018043101249405905
c#6pgc_c,6.587111147175477e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#ru5p__D_c,-6.3890293254314065e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#adp_c,5.444088458307035e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#nadp_c,4.521322689926516e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#nadph_c,-4.297569544925739e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#atp_c,-3.9512583793237e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#13dpg_c,2.612706954420534e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#nh4_c,2.05541148569803e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#glu__L_c,-2.011641658334968e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#akg_c,1.9249193086906772e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#q8h2_c,1.4115232635063392e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#q8_c,-1.2650486742675558e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#3pg_c,-1.2136812079357289e-12,0.0,0.0,0.09021551114378523,0.018043101249405905
c#o2_c,7.094615894582967e-13,0.0,0.0,0.09021551114378523,0.018043101249405905
c#aspsa_c,3.8454673576945914e-13,0.0,0.0,0.09021551114378523,0.018043101249405905
c#asp__L_c,1.7627527237197356e-13,0.0,0.0,0.09021551114378523,0.018043101249405905
c#r5p_c,-1.415789609671126e-13,0.0,0.0,0.09021551114378523,0.018043101249405905
c#cbp_c,1.2676492263908572e-13,0.0,0.0,0.09021551114378523,0.018043101249405905
c#cbasp_c,-1.239068848380098e-13,0.0,0.0,0.09021551114378523,0.018043101249405905
c#icit_c,1.2122657636583766e-13,0.0,0.0,0.09021551114378523,0.018043101249405905
c#hom__L_c,-1.1796437845428053e-13,0.0,0.0,0.09021551114378523,0.018043101249405905
c#coa_c,1.1047226890029883e-13,0.0,0.0,0.09021551114378523,0.018043101249405905
c#for_c,-1.0970417691593934e-13,0.0,0.0,0.09021551114378523,0.018043101249405905
c#accoa_c,-1.0963229682430699e-13,0.0,0.0,0.09021551114378523,0.018043101249405905
c#pyr_c,1.0163728419368794e-13,0.0,0.0,0.09021551114378523,0.018043101249405905
