Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#atp_c,0.5885062920140771,1.0,0.0,0.24773952642543234,0.049547899191425646
c#amp_c,-0.0002402715526869525,0.0,1.0,0.24773952642543234,0.049547899191425646
c#r5p_c,0.5885062920138542,1.0,0.0,0.24773952642543234,0.049547899191425646
c#prpp_c,-0.00024027155268514132,0.0,1.0,0.24773952642543234,0.049547899191425646
c#h_c,-0.0,0.0,1.0,0.24773952642543234,0.049547899191425646
c#nh4_c,7.779227978260205e-12,0.0,0.0,0.24773952642543234,0.049547899191425646
c#akg_c,7.771365144589524e-12,0.0,0.0,0.24773952642543234,0.049547899191425646
c#glu__L_c,-6.440425949966998e-12,0.0,0.0,0.24773952642543234,0.049547899191425646
c#nadph_c,5.236680010912131e-12,0.0,0.0,0.24773952642543234,0.049547899191425646
c#nadp_c,-3.83776697740325e-12,0.0,0.0,0.24773952642543234,0.049547899191425646
c#6pgc_c,2.7019940666317177e-12,0.0,0.0,0.24773952642543234,0.049547899191425646
c#co2_c,-2.5268589861635716e-12,0.0,0.0,0.24773952642543234,0.049547899191425646
c#ru5p__D_c,-2.2257846270819923e-12,0.0,0.0,0.24773952642543234,0.049547899191425646
c#pep_c,2.2040877362781363e-13,0.0,0.0,0.24773952642543234,0.049547899191425646
c#pyr_c,1.3444176354017587e-13,0.0,0.0,0.24773952642543234,0.049547899191425646
c#coa_c,1.0984618274515477e-13,0.0,0.0,0.24773952642543234,0.049547899191425646
c#2ahbut_c,8.164672507679566e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#23dhmp_c,-5.5311748436044646e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#g3p_c,5.511751388193855e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#glc__D_p,5.1059138732369045e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#nad_c,4.995646868444129e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#nadh_c,-4.7770685681246316e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#aspsa_c,4.392414991136643e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#13dpg_c,-4.1203142633307714e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#alac__S_c,4.035690712775201e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#oaa_c,-3.1486638532278354e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#adp_c,2.5758050923679133e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#pi_c,2.5034931707831657e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#g6p_c,-2.4710342729380245e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
c#23dhmb_c,-2.4609770540737865e-14,0.0,0.0,0.24773952642543234,0.049547899191425646
