Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#aicar_c,-0.08664979641586269,0.0,1.0,0.2796588984038576,0.0559317776134407
c#fum_c,-0.0866581790919024,0.0,1.0,0.2796588984038576,0.0559317776134407
c#25aics_c,0.20115617964758087,1.0,0.0,0.2796588984038576,0.0559317776134407
c#amp_c,-8.382676039347075e-6,0.0,1.0,0.2796588984038576,0.0559317776134407
c#dcamp_c,0.11860919452240715,1.0,0.0,0.2796588984038576,0.0559317776134407
c#nh4_c,1.1816801986237533e-10,0.0,0.0,0.2796588984038576,0.0559317776134407
c#akg_c,1.1810495662291793e-10,0.0,0.0,0.2796588984038576,0.0559317776134407
c#glu__L_c,-7.895609624381379e-11,0.0,0.0,0.2796588984038576,0.0559317776134407
c#nadph_c,6.673537575192903e-11,0.0,0.0,0.2796588984038576,0.0559317776134407
c#6pgc_c,5.28324286632146e-11,0.0,0.0,0.2796588984038576,0.0559317776134407
c#co2_c,-4.931836445153289e-11,0.0,0.0,0.2796588984038576,0.0559317776134407
c#ru5p__D_c,-4.8830705561923766e-11,0.0,0.0,0.2796588984038576,0.0559317776134407
c#nadp_c,-2.6716897440975485e-11,0.0,0.0,0.2796588984038576,0.0559317776134407
c#pep_c,4.793846405098245e-12,0.0,0.0,0.2796588984038576,0.0559317776134407
c#r5p_c,-2.1532458004712485e-12,0.0,0.0,0.2796588984038576,0.0559317776134407
c#glc__D_p,1.387956481956499e-12,0.0,0.0,0.2796588984038576,0.0559317776134407
c#g3p_c,1.2157624261921024e-12,0.0,0.0,0.2796588984038576,0.0559317776134407
c#nad_c,1.0733429592945893e-12,0.0,0.0,0.2796588984038576,0.0559317776134407
c#nadh_c,-1.0397906522560529e-12,0.0,0.0,0.2796588984038576,0.0559317776134407
c#pi_c,9.544440319521083e-13,0.0,0.0,0.2796588984038576,0.0559317776134407
c#g6p_c,-8.919011163021695e-13,0.0,0.0,0.2796588984038576,0.0559317776134407
c#2ahbut_c,8.623899858342607e-13,0.0,0.0,0.2796588984038576,0.0559317776134407
c#aspsa_c,8.601531775606752e-13,0.0,0.0,0.2796588984038576,0.0559317776134407
c#13dpg_c,-8.46103712682451e-13,0.0,0.0,0.2796588984038576,0.0559317776134407
c#pyr_c,7.799867311866821e-13,0.0,0.0,0.2796588984038576,0.0559317776134407
c#coa_c,7.45396906501645e-13,0.0,0.0,0.2796588984038576,0.0559317776134407
c#adp_c,5.859554096804125e-13,0.0,0.0,0.2796588984038576,0.0559317776134407
c#atp_c,-5.671846106371748e-13,0.0,0.0,0.2796588984038576,0.0559317776134407
c#23dhmp_c,-5.310261121787262e-13,0.0,0.0,0.2796588984038576,0.0559317776134407
c#oaa_c,-3.70479778649035e-13,0.0,0.0,0.2796588984038576,0.0559317776134407
