Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#adp_c,-4.0830018195338063e-14,0.0,1.0,0.2796588984038576,0.055931776711316085
c#atp_c,4.084374423986773e-14,1.0,0.0,0.2796588984038576,0.055931776711316085
c#asp__L_c,4.121550886420015e-14,1.0,0.0,0.2796588984038576,0.055931776711316085
c#25aics_c,-4.125308517865294e-14,0.0,1.0,0.2796588984038576,0.055931776711316085
c#pi_c,-4.056056762134375e-14,0.0,1.0,0.2796588984038576,0.055931776711316085
c#h_c,-0.0,0.0,1.0,0.2796588984038576,0.055931776711316085
c#5aizc_c,4.125661785632955e-14,1.0,0.0,0.2796588984038576,0.055931776711316085
c#nh4_c,8.640835153325092e-14,0.0,0.0,0.2796588984038576,0.055931776711316085
c#akg_c,8.636223745657773e-14,0.0,0.0,0.2796588984038576,0.055931776711316085
c#glu__L_c,-5.773530115900877e-14,0.0,0.0,0.2796588984038576,0.055931776711316085
c#nadph_c,4.879910413918278e-14,0.0,0.0,0.2796588984038576,0.055931776711316085
c#6pgc_c,3.8632817391587587e-14,0.0,0.0,0.2796588984038576,0.055931776711316085
c#co2_c,-3.606321417471869e-14,0.0,0.0,0.2796588984038576,0.055931776711316085
c#ru5p__D_c,-3.5706625241755924e-14,0.0,0.0,0.2796588984038576,0.055931776711316085
c#nadp_c,-1.9536272955224407e-14,0.0,0.0,0.2796588984038576,0.055931776711316085
c#pep_c,3.505423710065083e-15,0.0,0.0,0.2796588984038576,0.055931776711316085
c#r5p_c,-1.5745241740977715e-15,0.0,0.0,0.2796588984038576,0.055931776711316085
c#glc__D_p,1.0149211755219077e-15,0.0,0.0,0.2796588984038576,0.055931776711316085
c#g3p_c,8.890059043461972e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#nad_c,7.848638697250067e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#nadh_c,-7.603292483177354e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#g6p_c,-6.521885349973552e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#2ahbut_c,6.306086550985188e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#aspsa_c,6.289727668444269e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#13dpg_c,-6.186991046589149e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#pyr_c,5.7035282642774e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#coa_c,5.45060145418563e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#23dhmp_c,-3.8830420986422895e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#oaa_c,-2.709073370888173e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#3pg_c,-2.6985250754170143e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#gln__L_c,2.4342493769372384e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
c#f6p_c,1.9392081523222609e-16,0.0,0.0,0.2796588984038576,0.055931776711316085
