Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#ctp_c,-0.00075493701901221,0.0,1.0,0.011296984392304716,0.0022593968343701007
c#pep_c,0.97657163661775,1.0,0.0,0.011296984392304716,0.0022593968343701007
c#pyr_c,-0.8657518422464958,0.0,1.0,0.011296984392304716,0.0022593968343701007
c#cdp_c,0.0015454208291649067,1.0,0.0,0.011296984392304716,0.0022593968343701007
c#h_c,-0.0,1.0,0.0,0.011296984392304716,0.0022593968343701007
c#utp_c,-0.0006293571676566737,0.0,1.0,0.011296984392304716,0.0022593968343701007
c#udp_c,0.001986263781910971,1.0,0.0,0.011296984392304716,0.0022593968343701007
c#gdp_c,0.9728969349516791,1.0,0.0,0.011296984392304716,0.0022593968343701007
c#gtp_c,-0.8643675466505621,0.0,1.0,0.011296984392304716,0.0022593968343701007
c#dtdp_c,0.00014301705347237752,1.0,0.0,0.011296984392304716,0.0022593968343701007
c#dttp_c,-1.4090649130467672e-9,0.0,1.0,0.011296984392304716,0.0022593968343701007
c#adp_c,4.411342544810244e-11,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#13dpg_c,3.6875889153333396e-11,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#atp_c,-3.046676314175077e-11,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#3pg_c,-2.3523040700525176e-11,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#co2_c,-7.938188567788248e-12,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#6pgc_c,7.302288310179604e-12,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#nadp_c,6.972825585941207e-12,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#nadph_c,-6.873702870061892e-12,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#ru5p__D_c,-6.843632893578743e-12,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#pi_c,5.021286799556442e-12,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#q8h2_c,4.7973254356584705e-12,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#q8_c,-4.392480088454365e-12,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#o2_c,2.409859255824731e-12,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#aspsa_c,9.83943653105539e-13,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#asp__L_c,8.296433886881023e-13,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#coa_c,8.29368304808518e-13,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#accoa_c,-8.022509123391492e-13,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#for_c,-7.987127127739201e-13,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#akg_c,-7.209558251050155e-13,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#icit_c,7.100369787454242e-13,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#cbp_c,7.04046405989795e-13,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#cbasp_c,-6.87514454400996e-13,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#hom__L_c,-6.536127956319977e-13,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#r5p_c,-2.785358254902856e-13,0.0,0.0,0.011296984392304716,0.0022593968343701007
c#thdp_c,-1.667215972893089e-13,0.0,0.0,0.011296984392304716,0.0022593968343701007
