Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#adp_c,0.14931780595437755,1.0,0.0,0.28114820992875833,0.056229641856347094
c#atp_c,-0.14931780595436975,0.0,1.0,0.28114820992875833,0.056229641856347094
c#pep_c,0.14931780595434327,1.0,0.0,0.28114820992875833,0.056229641856347094
c#pyr_c,-0.149317805953924,0.0,1.0,0.28114820992875833,0.056229641856347094
c#h_c,-0.0,1.0,0.0,0.28114820992875833,0.056229641856347094
c#nh4_c,9.936015671232992e-12,0.0,0.0,0.28114820992875833,0.056229641856347094
c#akg_c,9.929189770633217e-12,0.0,0.0,0.28114820992875833,0.056229641856347094
c#nadph_c,9.769669061848332e-12,0.0,0.0,0.28114820992875833,0.056229641856347094
c#glu__L_c,-8.655846025567626e-12,0.0,0.0,0.28114820992875833,0.056229641856347094
c#nadp_c,-8.46251743558041e-12,0.0,0.0,0.28114820992875833,0.056229641856347094
c#g3p_c,8.360040381771759e-13,0.0,0.0,0.28114820992875833,0.056229641856347094
c#nad_c,8.308409965437762e-13,0.0,0.0,0.28114820992875833,0.056229641856347094
c#nadh_c,-8.152301275710214e-13,0.0,0.0,0.28114820992875833,0.056229641856347094
c#pi_c,8.022152160573712e-13,0.0,0.0,0.28114820992875833,0.056229641856347094
c#13dpg_c,-5.769824378203816e-13,0.0,0.0,0.28114820992875833,0.056229641856347094
c#3pg_c,-2.5018443194393596e-13,0.0,0.0,0.28114820992875833,0.056229641856347094
c#6pgc_c,2.199503711935393e-13,0.0,0.0,0.28114820992875833,0.056229641856347094
c#coa_c,1.6738971710067524e-13,0.0,0.0,0.28114820992875833,0.056229641856347094
c#ru5p__D_c,-1.6584947577935251e-13,0.0,0.0,0.28114820992875833,0.056229641856347094
c#f6p_c,5.707019640372055e-14,0.0,0.0,0.28114820992875833,0.056229641856347094
c#aspsa_c,5.603038985661883e-14,0.0,0.0,0.28114820992875833,0.056229641856347094
c#oaa_c,-4.2524122960769525e-14,0.0,0.0,0.28114820992875833,0.056229641856347094
c#2ahbut_c,3.108574776517813e-14,0.0,0.0,0.28114820992875833,0.056229641856347094
c#r5p_c,-2.7219976978449264e-14,0.0,0.0,0.28114820992875833,0.056229641856347094
c#fdp_c,-2.6525920601012605e-14,0.0,0.0,0.28114820992875833,0.056229641856347094
c#gln__L_c,2.5495810975428824e-14,0.0,0.0,0.28114820992875833,0.056229641856347094
c#23dhmp_c,-2.1484433172764423e-14,0.0,0.0,0.28114820992875833,0.056229641856347094
c#gam6p_c,-2.113141000236062e-14,0.0,0.0,0.28114820992875833,0.056229641856347094
c#thdp_c,-1.955295905537094e-14,0.0,0.0,0.28114820992875833,0.056229641856347094
c#2pg_c,1.579702460657296e-14,0.0,0.0,0.28114820992875833,0.056229641856347094
