Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#orot5p_c,0.9551326192386482,1.0,0.0,0.09021551114378523,0.018043102075804392
c#co2_c,-0.9232775645533137,0.0,1.0,0.09021551114378523,0.018043102075804392
c#ump_c,-0.9232775645070788,0.0,1.0,0.09021551114378523,0.018043102075804392
c#h_c,-0.0,1.0,0.0,0.09021551114378523,0.018043102075804392
c#6pgc_c,4.564109539148534e-11,0.0,0.0,0.09021551114378523,0.018043102075804392
c#ru5p__D_c,-4.4268616355832144e-11,0.0,0.0,0.09021551114378523,0.018043102075804392
c#adp_c,3.772126403727872e-11,0.0,0.0,0.09021551114378523,0.018043102075804392
c#nadp_c,3.132755873605992e-11,0.0,0.0,0.09021551114378523,0.018043102075804392
c#nadph_c,-2.9777205657214444e-11,0.0,0.0,0.09021551114378523,0.018043102075804392
c#atp_c,-2.7377670537120925e-11,0.0,0.0,0.09021551114378523,0.018043102075804392
c#pi_c,1.827478459202946e-11,0.0,0.0,0.09021551114378523,0.018043102075804392
c#13dpg_c,1.8103050531455043e-11,0.0,0.0,0.09021551114378523,0.018043102075804392
c#nh4_c,1.4241635599245445e-11,0.0,0.0,0.09021551114378523,0.018043102075804392
c#glu__L_c,-1.39383609181485e-11,0.0,0.0,0.09021551114378523,0.018043102075804392
c#akg_c,1.333747438018175e-11,0.0,0.0,0.09021551114378523,0.018043102075804392
c#q8h2_c,9.780232559095944e-12,0.0,0.0,0.09021551114378523,0.018043102075804392
c#q8_c,-8.765332059864354e-12,0.0,0.0,0.09021551114378523,0.018043102075804392
c#3pg_c,-8.409413187003823e-12,0.0,0.0,0.09021551114378523,0.018043102075804392
c#o2_c,4.915753006229879e-12,0.0,0.0,0.09021551114378523,0.018043102075804392
c#aspsa_c,2.664468380648557e-12,0.0,0.0,0.09021551114378523,0.018043102075804392
c#asp__L_c,1.2213853521864018e-12,0.0,0.0,0.09021551114378523,0.018043102075804392
c#pep_c,1.0070847594845429e-12,0.0,0.0,0.09021551114378523,0.018043102075804392
c#r5p_c,-9.809789822262738e-13,0.0,0.0,0.09021551114378523,0.018043102075804392
c#cbp_c,8.783354575261789e-13,0.0,0.0,0.09021551114378523,0.018043102075804392
c#cbasp_c,-8.58532490262254e-13,0.0,0.0,0.09021551114378523,0.018043102075804392
c#icit_c,8.399612042947603e-13,0.0,0.0,0.09021551114378523,0.018043102075804392
c#hom__L_c,-8.173580461123927e-13,0.0,0.0,0.09021551114378523,0.018043102075804392
c#coa_c,7.654467328291585e-13,0.0,0.0,0.09021551114378523,0.018043102075804392
c#for_c,-7.601247450986171e-13,0.0,0.0,0.09021551114378523,0.018043102075804392
