Metabolite,Sensitivity,Substrate,Product,RefGrowth,KDGrowth
c#g3p_c,-0.6901267759547922,0.0,1.0,0.2796588984038576,0.055931776825110496
c#dhap_c,0.7603397181792001,1.0,0.0,0.2796588984038576,0.055931776825110496
c#nh4_c,1.5341264428321393e-12,0.0,0.0,0.2796588984038576,0.055931776825110496
c#akg_c,1.5333077187288717e-12,0.0,0.0,0.2796588984038576,0.055931776825110496
c#glu__L_c,-1.025054285648219e-12,0.0,0.0,0.2796588984038576,0.055931776825110496
c#nadph_c,8.663977306411119e-13,0.0,0.0,0.2796588984038576,0.055931776825110496
c#6pgc_c,6.859015367958519e-13,0.0,0.0,0.2796588984038576,0.055931776825110496
c#co2_c,-6.402798926072185e-13,0.0,0.0,0.2796588984038576,0.055931776825110496
c#ru5p__D_c,-6.339488233831457e-13,0.0,0.0,0.2796588984038576,0.055931776825110496
c#nadp_c,-3.4685440629264054e-13,0.0,0.0,0.2796588984038576,0.055931776825110496
c#pep_c,6.223652809877504e-14,0.0,0.0,0.2796588984038576,0.055931776825110496
c#r5p_c,-2.79546979320077e-14,0.0,0.0,0.2796588984038576,0.055931776825110496
c#glc__D_p,1.8019265974148174e-14,0.0,0.0,0.2796588984038576,0.055931776825110496
c#nad_c,1.3934767077948415e-14,0.0,0.0,0.2796588984038576,0.055931776825110496
c#nadh_c,-1.3499171292623908e-14,0.0,0.0,0.2796588984038576,0.055931776825110496
c#pi_c,1.239115140003652e-14,0.0,0.0,0.2796588984038576,0.055931776825110496
c#g6p_c,-1.1579183941038713e-14,0.0,0.0,0.2796588984038576,0.055931776825110496
c#2ahbut_c,1.119605270712828e-14,0.0,0.0,0.2796588984038576,0.055931776825110496
c#aspsa_c,1.1167012831315772e-14,0.0,0.0,0.2796588984038576,0.055931776825110496
c#13dpg_c,-1.0984614165935153e-14,0.0,0.0,0.2796588984038576,0.055931776825110496
c#pyr_c,1.0126245574932215e-14,0.0,0.0,0.2796588984038576,0.055931776825110496
c#coa_c,9.67718087641363e-15,0.0,0.0,0.2796588984038576,0.055931776825110496
c#adp_c,7.607216847462553e-15,0.0,0.0,0.2796588984038576,0.055931776825110496
c#atp_c,-7.363523072563761e-15,0.0,0.0,0.2796588984038576,0.055931776825110496
c#23dhmp_c,-6.894092508038507e-15,0.0,0.0,0.2796588984038576,0.055931776825110496
c#oaa_c,-4.8097858521238395e-15,0.0,0.0,0.2796588984038576,0.055931776825110496
c#3pg_c,-4.7910572841728224e-15,0.0,0.0,0.2796588984038576,0.055931776825110496
