Entry	Mass	Gene names  (ordered locus )	Subunit structure [CC]
P0AB74	31,294	b3137 JW3106	SUBUNIT: Homotetramer. Forms a complex with KbaZ. {ECO:0000269|PubMed:10712619, ECO:0000269|PubMed:11940603}.
P0A794	26,384	b2564 JW2548	SUBUNIT: Homooctamer; tetramer of dimers. {ECO:0000269|PubMed:11286891, ECO:0000269|PubMed:12269807}.
P0A796	34,842	b3916 JW3887	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00339, ECO:0000269|PubMed:2975709}.
P77366	23,565	b1317 JW1310	SUBUNIT: Monomer. {ECO:0000250|UniProtKB:P71447}.
P24207	50,677	b0576 JW0565	
P40191	30,847	b2418 JW2411	SUBUNIT: Homodimer. {ECO:0000269|PubMed:16740960}.
P15288	52,915	b0237 JW0227	
P21165	50,176	b3847 JW3823	
P0AFI7	25,545	b1638 JW1630	SUBUNIT: Homodimer. {ECO:0000269|PubMed:10903950, ECO:0000269|PubMed:11453690, ECO:0000269|PubMed:11786019, ECO:0000269|PubMed:15858270, ECO:0000269|PubMed:7860596, ECO:0000269|PubMed:9693059}.
P19624	35,114	b0052 JW0051	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00536, ECO:0000269|PubMed:12896974}.
P0ABF1	53,871	b0143 JW5808	SUBUNIT: Monomer. Interacts with CsdA, RhlE and SrmB. {ECO:0000269|PubMed:10361280}.
P77172	85,608	b2503 JW2488	
P21514	40,725	b0315 JW0307	SUBUNIT: Is in a fast thermodynamic monomer-homodimer equilibrium. Dimerization is required for PDE activity. Dimerization affinity is increased about 100-fold upon substrate binding. {ECO:0000269|PubMed:24451384}.
P0A7A7	91,381	b4041 JW4001	SUBUNIT: Interacts with ACP, YbgC and PssA, forming altogether a complex at the inner membrane. {ECO:0000269|PubMed:16294310}.
P69924	43,517	b2235 JW2229	SUBUNIT: Tetramer of two alpha (R1) and two beta (R2) subunits. The B1 protein is a dimer of alpha subunits. A radical transfer pathway occurs between Tyr-123 of R2 and R1.
P0A9T0	44,176	b2913 JW2880	SUBUNIT: Homotetramer.
P0A9V8	31,158	b3882 JW3853	SUBUNIT: Homotetramer (PubMed:19372223, Ref.6). Dimer of dimers (Ref.6). {ECO:0000269|PubMed:19372223, ECO:0000269|Ref.6}.
